,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,class
54,54,54,54,54,54,54,54,54,54,33.4,29.4,1017.2,8.5,14.0,28.0,43.0,25.0,1
55,55,55,55,55,55,55,55,55,55,25.2,18.5,1028.6,9.1,7.4,17.1,37.0,17.1,1
56,56,56,56,56,56,56,56,56,56,33.0,29.0,1023.2,9.6,4.6,10.1,39.0,30.0,1
57,57,57,57,57,57,57,57,57,57,29.4,26.8,1024.0,7.6,12.8,17.1,34.0,26.1,1
58,58,58,58,58,58,58,58,58,58,21.6,17.3,1032.5,12.4,8.3,17.1,28.0,14.0,1
59,59,59,59,59,59,59,59,59,59,24.3,20.3,1027.9,11.1,3.5,13.0,37.0,17.1,1
60,60,60,60,60,60,60,60,60,60,35.0,30.5,1023.8,11.1,7.7,12.0,44.1,28.9,1
61,61,61,61,61,61,61,61,61,61,35.9,32.6,1022.0,7.2,8.5,13.0,42.1,30.9,2
62,62,62,62,62,62,62,62,62,62,42.3,37.3,1013.5,7.4,1.9,8.9,57.9,30.9,1
63,63,63,63,63,63,63,63,63,63,41.9,36.1,1010.4,8.3,7.0,13.0,50.0,34.0,1
64,64,64,64,64,64,64,64,64,64,36.6,31.8,1019.9,9.4,8.2,17.1,43.0,33.1,2
65,65,65,65,65,65,65,65,65,65,35.2,31.5,1020.8,10.0,8.3,22.0,46.0,28.9,1
66,66,66,66,66,66,66,66,66,66,36.2,33.5,1011.2,6.9,8.8,26.0,43.0,30.9,2
67,67,67,67,67,67,67,67,67,67,30.0,27.3,1019.0,8.6,17.6,22.0,35.1,25.0,1
68,68,68,68,68,68,68,68,68,68,26.7,20.9,1025.1,10.4,10.1,15.0,32.0,21.0,1
69,69,69,69,69,69,69,69,69,69,24.4,18.0,1025.1,10.4,7.7,13.0,30.0,18.0,1
70,70,70,70,70,70,70,70,70,70,30.9,25.5,1020.1,10.9,4.6,15.9,39.0,26.1,1
71,71,71,71,71,71,71,71,71,71,33.2,28.6,1023.1,6.3,4.0,11.1,37.0,30.0,2
72,72,72,72,72,72,72,72,72,72,28.0,23.7,1028.2,5.4,11.7,17.1,33.1,19.0,1
73,73,73,73,73,73,73,73,73,73,13.9,5.3,1034.3,9.5,9.6,22.0,24.1,7.0,1
74,74,74,74,74,74,74,74,74,74,27.7,21.5,1022.5,11.1,8.8,14.0,37.0,23.0,1
75,75,75,75,75,75,75,75,75,75,27.6,21.3,1022.7,8.4,7.9,13.0,36.0,21.0,1
76,76,76,76,76,76,76,76,76,76,28.6,21.8,1026.3,11.1,8.0,10.1,39.9,21.9,1
77,77,77,77,77,77,77,77,77,77,32.5,26.2,1025.8,9.6,10.7,20.0,39.9,28.0,1
78,78,78,78,78,78,78,78,78,78,44.7,36.7,1011.9,10.2,16.3,26.0,68.0,33.1,1
79,79,79,79,79,79,79,79,79,79,48.2,43.2,1004.4,6.2,14.2,26.0,62.1,37.0,2
80,80,80,80,80,80,80,80,80,80,35.3,32.4,1011.8,4.9,16.4,22.0,39.0,33.1,2
81,81,81,81,81,81,81,81,81,81,36.3,33.4,1012.3,6.0,12.5,22.0,48.9,32.0,1
82,82,82,82,82,82,82,82,82,82,54.1,45.5,998.7,9.2,18.9,35.0,68.0,46.0,1
83,83,83,83,83,83,83,83,83,83,45.3,34.1,1011.5,11.5,11.5,22.0,59.0,34.0,1
84,84,84,84,84,84,84,84,84,84,46.5,42.2,1006.8,7.6,12.3,25.1,53.1,42.1,2
85,85,85,85,85,85,85,85,85,85,46.2,38.8,1001.4,11.1,13.3,26.0,63.0,37.0,2
86,86,86,86,86,86,86,86,86,86,50.7,34.3,1008.9,12.3,6.3,26.0,69.1,37.9,1
87,87,87,87,87,87,87,87,87,87,42.8,38.9,1016.4,7.7,16.4,26.0,59.0,39.9,2
88,88,88,88,88,88,88,88,88,88,43.2,40.1,1008.3,6.6,17.4,26.0,57.0,39.0,2
89,89,89,89,89,89,89,89,89,89,39.7,35.5,1005.7,9.2,16.2,22.0,54.0,35.1,2
90,90,90,90,90,90,90,90,90,90,37.8,30.0,1020.2,9.6,9.8,22.9,48.9,28.9,1
91,91,91,91,91,91,91,91,91,91,40.9,31.4,1019.2,10.4,7.0,15.9,46.9,35.1,1
92,92,92,92,92,92,92,92,92,92,43.0,31.9,1020.4,11.4,5.8,13.0,53.1,36.0,1
93,93,93,93,93,93,93,93,93,93,43.1,32.9,1023.0,8.0,3.8,13.0,57.0,30.0,1
94,94,94,94,94,94,94,94,94,94,45.6,34.0,1015.2,12.5,10.1,20.0,57.9,33.1,1
95,95,95,95,95,95,95,95,95,95,52.3,34.9,1008.1,14.3,9.9,22.0,68.0,39.9,1
96,96,96,96,96,96,96,96,96,96,55.3,37.7,1013.6,12.3,7.7,22.0,70.0,45.0,1
97,97,97,97,97,97,97,97,97,97,50.5,33.2,1016.7,9.8,5.3,15.9,64.0,35.1,1
98,98,98,98,98,98,98,98,98,98,51.6,33.8,1018.2,12.1,13.7,20.0,57.9,46.0,2
99,99,99,99,99,99,99,99,99,99,47.2,36.3,1021.2,8.7,12.6,18.1,52.0,45.0,2
100,100,100,100,100,100,100,100,100,100,49.4,29.0,1021.3,11.2,8.6,13.0,68.0,34.0,1
101,101,101,101,101,101,101,101,101,101,55.7,36.3,1012.2,9.9,6.2,14.0,73.9,37.9,1
102,102,102,102,102,102,102,102,102,102,59.9,43.9,1003.5,9.3,8.0,17.1,73.9,48.0,1
103,103,103,103,103,103,103,103,103,103,44.4,38.3,1003.3,5.5,20.5,30.1,70.0,33.1,2
104,104,104,104,104,104,104,104,104,104,36.9,30.5,1021.4,11.8,17.0,26.0,45.0,33.1,1
105,105,105,105,105,105,105,105,105,105,42.1,33.9,1019.5,11.3,9.2,22.0,62.1,30.9,1
106,106,106,106,106,106,106,106,106,106,53.7,39.5,1010.3,11.8,15.4,30.1,61.0,44.1,1
107,107,107,107,107,107,107,107,107,107,41.8,27.0,1021.4,14.1,12.0,22.0,54.0,30.0,1
108,108,108,108,108,108,108,108,108,108,46.8,31.5,1023.9,13.5,10.2,17.1,64.0,34.0,1
109,109,109,109,109,109,109,109,109,109,57.8,37.5,1018.9,12.2,14.2,26.0,72.0,50.0,2
110,110,110,110,110,110,110,110,110,110,56.3,47.0,1012.8,9.7,13.3,17.1,66.9,50.0,2
111,111,111,111,111,111,111,111,111,111,56.9,45.5,1014.1,11.7,3.0,14.0,72.0,48.0,1
112,112,112,112,112,112,112,112,112,112,59.5,38.9,1018.6,13.0,8.1,15.9,77.0,41.0,1
113,113,113,113,113,113,113,113,113,113,56.0,36.1,1019.5,13.2,12.8,17.1,75.9,41.0,1
114,114,114,114,114,114,114,114,114,114,69.7,47.3,1013.6,13.3,14.4,26.0,88.0,54.0,1
115,115,115,115,115,115,115,115,115,115,68.4,53.5,1014.5,10.9,12.5,22.0,82.0,55.9,2
116,116,116,116,116,116,116,116,116,116,62.8,43.3,1022.0,9.8,9.5,18.1,73.0,54.0,1
117,117,117,117,117,117,117,117,117,117,60.5,39.8,1024.1,10.9,7.6,15.9,73.0,46.9,1
118,118,118,118,118,118,118,118,118,118,64.1,41.8,1017.3,13.9,10.1,17.1,78.1,51.1,1
119,119,119,119,119,119,119,119,119,119,66.0,46.4,1007.9,11.5,14.1,26.0,77.0,54.0,2
120,120,120,120,120,120,120,120,120,120,56.8,49.1,1001.0,9.5,14.2,22.0,64.9,50.0,2
121,121,121,121,121,121,121,121,121,121,61.6,42.0,1010.7,12.1,8.7,15.9,82.9,45.0,1
122,122,122,122,122,122,122,122,122,122,74.8,64.1,1011.0,12.6,16.3,30.1,91.0,61.0,1
123,123,123,123,123,123,123,123,123,123,79.0,69.3,1011.6,7.1,19.2,26.0,86.0,72.0,1
124,124,124,124,124,124,124,124,124,124,76.6,68.5,1012.5,13.4,16.0,22.0,84.9,69.1,2
125,125,125,125,125,125,125,125,125,125,62.0,56.8,1021.1,11.5,11.5,15.9,77.0,57.0,2
126,126,126,126,126,126,126,126,126,126,61.2,54.3,1021.8,12.3,9.1,17.1,68.0,54.0,1
127,127,127,127,127,127,127,127,127,127,57.6,54.3,1013.9,7.8,9.1,22.0,66.9,53.1,2
128,128,128,128,128,128,128,128,128,128,56.7,50.9,1015.1,8.1,13.3,19.0,70.0,48.9,2
129,129,129,129,129,129,129,129,129,129,61.2,52.7,1021.6,11.8,4.7,10.1,70.0,52.0,1
130,130,130,130,130,130,130,130,130,130,63.6,55.9,1021.0,13.0,4.3,10.1,75.9,51.1,1
131,131,131,131,131,131,131,131,131,131,70.0,61.9,1018.7,11.6,7.3,10.1,84.9,57.0,1
132,132,132,132,132,132,132,132,132,132,71.5,62.2,1014.6,10.6,6.4,15.0,84.0,57.9,1
133,133,133,133,133,133,133,133,133,133,71.7,64.6,1014.8,9.5,4.6,13.0,82.0,62.1,1
134,134,134,134,134,134,134,134,134,134,66.4,60.7,1014.7,10.7,5.4,13.0,75.0,60.1,2
135,135,135,135,135,135,135,135,135,135,68.1,64.0,1011.7,8.3,10.8,22.9,75.9,64.0,2
136,136,136,136,136,136,136,136,136,136,70.5,64.1,1010.0,10.3,14.3,26.0,80.1,63.0,2
137,137,137,137,137,137,137,137,137,137,70.5,62.7,1008.2,13.8,11.9,22.9,77.0,64.0,1
138,138,138,138,138,138,138,138,138,138,58.0,53.2,1015.0,8.9,6.0,15.9,75.0,52.0,2
139,139,139,139,139,139,139,139,139,139,57.5,51.7,1015.6,10.3,2.8,13.0,70.0,53.1,1
140,140,140,140,140,140,140,140,140,140,61.7,58.1,999.0,7.4,10.2,22.0,68.0,57.9,2
141,141,141,141,141,141,141,141,141,141,60.3,55.0,1006.3,7.0,5.9,13.0,70.0,54.0,2
142,142,142,142,142,142,142,142,142,142,62.0,56.3,1012.7,10.9,2.7,13.0,68.0,54.0,2
143,143,143,143,143,143,143,143,143,143,53.7,45.0,1021.5,11.4,2.4,13.0,64.9,43.0,1
144,144,144,144,144,144,144,144,144,144,64.9,55.9,1016.9,13.9,4.5,13.0,82.0,54.0,2
145,145,145,145,145,145,145,145,145,145,67.0,54.9,1016.1,12.8,9.4,15.0,77.0,57.0,1
146,146,146,146,146,146,146,146,146,146,70.1,60.4,1013.3,11.7,5.4,10.1,82.9,60.1,2
147,147,147,147,147,147,147,147,147,147,72.0,60.3,1013.6,12.1,7.0,8.9,82.0,60.1,1
148,148,148,148,148,148,148,148,148,148,71.2,65.0,1011.3,10.8,11.3,15.9,80.1,64.0,1
149,149,149,149,149,149,149,149,149,149,72.2,64.9,1010.6,11.2,14.5,18.1,82.0,66.0,2
150,150,150,150,150,150,150,150,150,150,75.9,68.1,1008.7,11.6,10.6,22.0,86.0,66.9,1
151,151,151,151,151,151,151,151,151,151,76.7,68.9,1004.1,11.9,17.5,27.0,84.0,69.1,2
152,152,152,152,152,152,152,152,152,152,69.7,63.6,1004.4,9.7,9.2,20.0,81.0,62.1,2
153,153,153,153,153,153,153,153,153,153,70.5,61.5,1015.3,14.9,3.4,8.9,78.1,62.1,1
154,154,154,154,154,154,154,154,154,154,68.8,61.8,1020.4,10.5,3.4,13.0,73.9,62.1,1
155,155,155,155,155,155,155,155,155,155,69.5,61.4,1019.4,13.3,3.7,12.0,79.0,63.0,1
156,156,156,156,156,156,156,156,156,156,74.5,65.4,1014.8,11.8,3.0,12.0,88.0,64.0,1
157,157,157,157,157,157,157,157,157,157,65.5,54.4,1016.3,10.4,10.3,20.0,82.0,55.9,2
158,158,158,158,158,158,158,158,158,158,65.5,60.3,1016.6,10.6,10.6,22.0,77.0,57.9,2
159,159,159,159,159,159,159,159,159,159,68.4,63.7,1018.0,11.1,11.7,15.0,75.9,62.1,1
160,160,160,160,160,160,160,160,160,160,71.8,66.6,1019.1,10.2,1.5,8.9,82.9,63.0,1
161,161,161,161,161,161,161,161,161,161,74.6,68.3,1014.3,9.4,0.4,5.1,84.9,64.0,1
162,162,162,162,162,162,162,162,162,162,77.5,72.0,1007.7,11.1,5.4,13.0,84.9,70.0,1
163,163,163,163,163,163,163,163,163,163,70.0,67.2,1007.2,7.0,6.1,13.0,84.0,66.0,2
164,164,164,164,164,164,164,164,164,164,67.7,61.9,1008.6,9.9,8.2,13.0,73.9,60.1,2
165,165,165,165,165,165,165,165,165,165,69.2,62.6,1012.7,12.3,1.4,8.9,84.0,55.9,1
166,166,166,166,166,166,166,166,166,166,75.3,65.7,1010.0,13.6,11.5,17.1,87.1,64.9,1
167,167,167,167,167,167,167,167,167,167,78.5,69.6,1007.5,14.9,13.1,22.0,90.0,66.0,1
168,168,168,168,168,168,168,168,168,168,73.2,67.8,1014.4,8.3,13.0,26.0,88.0,64.9,2
169,169,169,169,169,169,169,169,169,169,73.9,69.7,1016.8,5.2,7.2,8.9,84.9,68.0,1
170,170,170,170,170,170,170,170,170,170,82.1,74.7,1009.5,9.7,10.6,14.0,95.0,73.9,1
171,171,171,171,171,171,171,171,171,171,76.9,67.3,1013.4,11.2,8.9,26.0,90.0,70.0,2
172,172,172,172,172,172,172,172,172,172,75.5,65.8,1013.7,13.8,9.3,25.1,88.0,66.9,2
173,173,173,173,173,173,173,173,173,173,77.5,71.5,1005.4,12.0,15.0,25.1,96.1,66.9,2
174,174,174,174,174,174,174,174,174,174,70.8,68.7,1003.2,9.8,4.0,13.0,75.9,66.9,2
175,175,175,175,175,175,175,175,175,175,74.6,69.6,1002.3,10.4,6.3,20.0,89.1,64.9,1
176,176,176,176,176,176,176,176,176,176,81.7,74.1,1007.3,13.3,9.2,18.1,90.0,73.9,1
177,177,177,177,177,177,177,177,177,177,78.3,73.0,1008.7,12.6,10.8,15.0,88.0,69.1,2
178,178,178,178,178,178,178,178,178,178,74.6,69.1,1014.0,11.7,7.5,17.1,84.9,68.0,2
179,179,179,179,179,179,179,179,179,179,77.8,70.0,1014.4,12.9,11.1,25.1,88.0,64.9,2
180,180,180,180,180,180,180,180,180,180,85.5,75.8,1012.8,11.8,13.5,18.1,96.1,77.0,1
181,181,181,181,181,181,181,181,181,181,84.8,75.8,1017.3,12.8,6.0,20.0,93.0,75.9,1
182,182,182,182,182,182,182,182,182,182,82.6,72.8,1019.8,13.7,9.6,13.0,93.9,73.9,1
183,183,183,183,183,183,183,183,183,183,86.6,75.9,1015.9,11.9,9.1,13.0,95.0,78.1,1
184,184,184,184,184,184,184,184,184,184,85.0,76.1,1013.2,6.7,8.7,13.0,91.9,75.0,1
185,185,185,185,185,185,185,185,185,185,81.8,73.4,1011.5,11.0,7.2,15.9,90.0,73.0,1
186,186,186,186,186,186,186,186,186,186,82.3,73.8,1009.0,12.3,5.5,10.1,91.9,72.0,2
187,187,187,187,187,187,187,187,187,187,79.6,72.1,1011.2,11.0,5.1,10.1,90.0,73.0,2
188,188,188,188,188,188,188,188,188,188,82.0,75.1,1013.3,9.6,7.4,19.0,90.0,75.9,2
189,189,189,189,189,189,189,189,189,189,75.7,69.6,1018.1,9.4,11.1,20.0,84.9,70.0,2
190,190,190,190,190,190,190,190,190,190,74.5,59.0,1022.4,14.9,7.9,13.0,84.0,63.0,1
191,191,191,191,191,191,191,191,191,191,74.0,61.7,1019.0,14.9,3.4,8.9,81.0,64.9,1
192,192,192,192,192,192,192,192,192,192,75.1,66.3,1015.6,11.1,4.2,11.1,86.0,64.0,1
193,193,193,193,193,193,193,193,193,193,74.7,67.8,1014.2,7.6,3.1,13.0,84.0,66.0,2
194,194,194,194,194,194,194,194,194,194,68.6,63.4,1013.3,10.4,11.0,15.9,73.0,64.0,2
195,195,195,195,195,195,195,195,195,195,73.2,63.2,1016.2,11.9,2.6,8.9,82.9,64.0,1
196,196,196,196,196,196,196,196,196,196,72.8,63.1,1015.3,11.7,3.6,14.0,84.0,60.1,1
197,197,197,197,197,197,197,197,197,197,76.0,64.5,1009.1,11.2,11.5,22.0,87.1,64.9,2
198,198,198,198,198,198,198,198,198,198,81.5,69.1,1005.6,10.1,9.0,22.9,91.9,71.1,1
199,199,199,199,199,199,199,199,199,199,78.0,62.4,1011.8,11.3,6.7,13.0,90.0,64.9,1
200,200,200,200,200,200,200,200,200,200,77.9,68.6,1007.8,12.5,15.3,22.0,86.0,69.1,2
201,201,201,201,201,201,201,201,201,201,78.6,67.1,1008.7,12.2,13.4,22.0,84.0,73.0,2
202,202,202,202,202,202,202,202,202,202,73.2,61.2,1017.7,12.0,4.7,13.0,86.0,60.1,1
203,203,203,203,203,203,203,203,203,203,75.4,67.9,1017.7,12.5,7.4,15.9,87.1,69.1,2
204,204,204,204,204,204,204,204,204,204,82.4,73.6,1015.5,14.0,11.8,18.1,91.9,73.9,1
205,205,205,205,205,205,205,205,205,205,83.1,74.0,1012.0,12.9,12.7,17.1,93.0,73.9,1
206,206,206,206,206,206,206,206,206,206,82.8,76.6,1009.2,13.3,10.8,17.1,90.0,75.0,2
207,207,207,207,207,207,207,207,207,207,77.6,74.0,1009.0,11.8,14.1,22.0,84.9,72.0,2
208,208,208,208,208,208,208,208,208,208,82.4,77.6,1010.8,12.9,12.5,17.1,91.9,75.0,1
209,209,209,209,209,209,209,209,209,209,77.5,72.3,1016.1,12.1,8.5,22.0,90.0,69.1,2
210,210,210,210,210,210,210,210,210,210,67.9,60.7,1021.0,14.1,6.2,10.1,78.1,55.9,1
211,211,211,211,211,211,211,211,211,211,72.6,63.8,1019.4,11.7,5.9,17.1,86.0,62.1,1
212,212,212,212,212,212,212,212,212,212,76.3,69.7,1012.7,13.4,10.5,17.1,82.0,68.0,2
213,213,213,213,213,213,213,213,213,213,69.0,60.8,1017.0,11.1,10.2,22.0,80.1,57.0,1
214,214,214,214,214,214,214,214,214,214,70.3,61.3,1019.2,10.7,2.2,8.9,82.0,55.9,1
215,215,215,215,215,215,215,215,215,215,72.8,63.0,1020.0,12.3,3.0,11.1,84.9,57.9,1
216,216,216,216,216,216,216,216,216,216,77.1,67.5,1018.9,13.1,8.7,13.0,90.0,64.9,1
217,217,217,217,217,217,217,217,217,217,79.5,68.9,1018.5,11.4,5.1,10.1,91.9,66.0,1
218,218,218,218,218,218,218,218,218,218,81.1,71.2,1017.8,12.0,5.9,13.0,91.9,70.0,1
219,219,219,219,219,219,219,219,219,219,81.8,73.3,1014.2,13.6,10.9,18.1,91.0,70.0,1
220,220,220,220,220,220,220,220,220,220,79.0,71.7,1012.4,14.2,10.5,17.1,89.1,72.0,2
221,221,221,221,221,221,221,221,221,221,77.0,71.8,1012.5,10.0,8.6,14.0,84.9,72.0,2
222,222,222,222,222,222,222,222,222,222,81.7,74.7,1013.0,12.8,8.6,15.9,93.0,72.0,1
223,223,223,223,223,223,223,223,223,223,82.4,75.9,1012.4,13.7,7.3,22.0,93.0,72.0,2
224,224,224,224,224,224,224,224,224,224,78.7,74.1,1012.8,13.3,9.9,17.1,88.0,72.0,2
225,225,225,225,225,225,225,225,225,225,75.7,71.2,1013.5,8.4,5.0,13.0,84.0,71.1,1
226,226,226,226,226,226,226,226,226,226,77.5,72.7,1014.6,4.3,4.1,8.9,86.0,72.0,2
227,227,227,227,227,227,227,227,227,227,78.3,72.7,1015.4,3.7,1.7,8.9,91.9,70.0,1
228,228,228,228,228,228,228,228,228,228,77.0,69.0,1015.1,8.5,4.8,13.0,87.1,69.1,2
229,229,229,229,229,229,229,229,229,229,74.4,69.3,1013.1,8.8,3.2,10.1,82.9,69.1,2
230,230,230,230,230,230,230,230,230,230,68.5,66.5,1010.0,6.2,5.9,15.9,79.0,64.9,2
231,231,231,231,231,231,231,231,231,231,66.7,58.6,1020.1,11.0,8.0,15.0,75.0,60.1,2
232,232,232,232,232,232,232,232,232,232,66.3,57.3,1022.5,11.8,4.1,12.0,77.0,55.9,1
233,233,233,233,233,233,233,233,233,233,69.7,60.9,1019.1,12.2,8.3,15.0,82.9,59.0,1
234,234,234,234,234,234,234,234,234,234,73.3,61.8,1015.6,14.0,8.5,15.9,88.0,60.1,1
235,235,235,235,235,235,235,235,235,235,75.8,63.5,1015.3,14.5,10.3,22.0,89.1,64.0,1
236,236,236,236,236,236,236,236,236,236,76.6,65.0,1017.1,12.4,9.9,15.9,89.1,64.9,1
237,237,237,237,237,237,237,237,237,237,78.3,64.6,1014.5,11.2,11.2,17.1,90.0,66.0,1
238,238,238,238,238,238,238,238,238,238,70.6,64.7,1015.8,9.6,2.5,13.0,81.0,66.0,2
239,239,239,239,239,239,239,239,239,239,69.6,59.9,1017.6,10.4,3.1,8.9,82.9,57.0,1
240,240,240,240,240,240,240,240,240,240,73.5,61.0,1016.4,12.0,4.2,12.0,86.0,64.0,1
241,241,241,241,241,241,241,241,241,241,68.8,57.5,1016.6,11.7,6.8,13.0,79.0,59.0,2
242,242,242,242,242,242,242,242,242,242,63.8,49.5,1016.8,12.8,7.8,27.0,73.0,55.0,1
243,243,243,243,243,243,243,243,243,243,60.6,47.3,1022.0,12.3,5.8,13.0,78.1,45.0,1
244,244,244,244,244,244,244,244,244,244,66.9,50.9,1017.1,14.3,11.0,17.1,82.0,53.1,1
245,245,245,245,245,245,245,245,245,245,75.4,62.2,1010.2,12.2,14.2,22.0,86.0,66.9,1
246,246,246,246,246,246,246,246,246,246,68.7,62.4,1007.7,11.9,9.5,15.0,80.1,62.1,2
247,247,247,247,247,247,247,247,247,247,63.7,56.5,1016.9,13.2,7.7,15.0,73.0,54.0,1
248,248,248,248,248,248,248,248,248,248,63.9,57.7,1017.7,11.2,8.3,20.0,71.1,57.9,2
