,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NO2(GT)
31,31,31,31,31,31,31,31,1.9,1043.75,53.0,6.37429750967153,829.0,133.0,1247.25,1378.25,831.5,7.7250001430511,59.674999237061,0.6307660602738635,110.0
32,32,32,32,32,32,32,32,1.4,987.75,40.0,4.132341795103469,718.0,82.0,1395.5,1303.5,691.5,7.125,61.799999237061,0.6275973687868803,91.0
33,33,33,33,33,33,33,33,0.8,888.75,21.0,1.8694446351370275,574.25,40.5,1680.25,1187.0,512.0,6.9750000238419,62.27499961853,0.6261075278097894,54.5
34,34,34,34,34,34,34,34,0.6499999999999999,831.0,10.0,1.0682926116418547,505.75,21.0,1892.75,1133.75,384.0,6.1000000238419,65.900001525879,0.6247536319724682,32.0
35,35,35,35,35,35,35,35,0.6,847.25,7.0,1.0224145989759523,501.25,30.0,1894.5,1154.75,394.0,6.2749999761581,64.97500038147,0.6232823211022999,44.0
36,36,36,36,36,36,36,36,0.8,927.0,17.0,1.83043122583498,571.25,56.0,1684.75,1222.75,486.5,6.75,62.949999809265,0.6234275392144519,71.0
37,37,37,37,37,37,37,37,1.4,1090.5,33.0,4.359340996864498,730.25,109.0,1387.0,1360.75,748.25,6.4499999284744,65.075001716614,0.6316281144389537,104.0
38,38,38,38,38,38,38,38,4.4,1587.0,202.0,17.865586704833834,1235.5,307.0,896.5,1900.25,1400.25,7.3250000476837,63.14999961853,0.6499331393073879,141.0
39,39,39,39,39,39,39,39,4.05,1544.5,313.0,22.074162063223632,1353.0,286.0,767.25,2058.0,1587.75,9.2250000238419,56.199998855591,0.6560651189171942,134.5
40,40,40,40,40,40,40,40,3.1,1350.25,208.0,14.02701136675159,1117.5,187.0,912.0,1711.75,1237.0,13.224999904633,41.749999046326,0.6319501309937225,122.0
41,41,41,41,41,41,41,41,2.7,1262.75,166.0,11.645646559704057,1037.25,216.0,969.0,1598.25,1166.5,14.325000047684,38.449999809265,0.6243042942153901,143.0
42,42,42,42,42,42,42,42,2.1,1206.25,114.0,10.224662143952829,986.0,143.0,1034.5,1537.0,959.0,15.025000095367,36.5,0.6195323226057363,113.0
43,43,43,43,43,43,43,43,2.5,1251.5,140.0,11.03993603930084,1015.75,160.0,1007.5,1592.75,983.0,16.100000143051,34.474999427795,0.6261647401566796,116.0
44,44,44,44,44,44,44,44,2.7,1287.0,169.0,12.816446196415624,1077.5,163.0,948.75,1660.25,1060.75,16.275000572205,35.72500038147,0.6560306119627572,123.0
45,45,45,45,45,45,45,45,2.9,1352.75,185.0,14.173851177910128,1122.25,190.0,921.75,1740.0,1139.25,15.825000047684,37.02499961853,0.6609611395034868,126.0
46,46,46,46,46,46,46,46,2.8,1309.0,165.0,12.690568103372724,1073.25,178.0,954.0,1657.25,1112.25,15.874999761581,37.175000190735,0.6657285250911997,120.0
47,47,47,47,47,47,47,47,2.4,1274.0,133.0,11.738405416264689,1040.5,150.0,1005.75,1609.75,993.75,16.875000238419,34.349999427795,0.6549085143270723,119.0
48,48,48,48,48,48,48,48,3.9,1509.5,233.0,19.290974886272963,1276.5,206.0,812.25,1909.75,1409.5,15.149999856949,39.550000190735,0.6766265078085045,149.0
49,49,49,49,49,49,49,49,3.7,1525.25,242.0,18.226178291697384,1246.0,202.0,821.0,1846.75,1447.75,14.399999856949,43.425000190735,0.7084497598177374,145.0
50,50,50,50,50,50,50,50,6.6,1843.0,488.0,32.55627834707047,1609.75,340.0,624.0,2390.25,1886.5,12.875,50.525000572205,0.7478032188508966,170.0
51,51,51,51,51,51,51,51,4.4,1597.75,333.0,20.092943564494178,1299.0,274.0,752.0,1940.5,1626.75,12.149999856949,53.349999427795,0.7536202227825304,149.0
52,52,52,52,52,52,52,52,3.5,1483.5,215.0,14.321342422629458,1127.0,253.0,839.0,1723.0,1491.0,10.975000143051,59.125000953674,0.7739800033862854,139.0
53,53,53,53,53,53,53,53,5.4,1677.25,367.0,21.81286506943192,1346.0,300.0,740.5,2062.0,1657.0,9.6749999523163,64.624999046326,0.7770739425473616,134.0
54,54,54,54,54,54,54,54,2.7,1279.5,122.0,9.63899981451842,964.0,193.0,962.5,1543.5,1285.25,9.4500002861023,64.125,0.7597465282359432,113.0
55,55,55,55,55,55,55,55,1.9,1196.25,67.0,7.375139467546298,873.0,139.0,1071.25,1463.25,1144.25,9.1499998569489,63.900001525879,0.7422764129225364,97.0
56,56,56,56,56,56,56,56,1.6,1183.75,43.0,5.369604169687442,781.75,83.0,1176.25,1364.5,1042.75,8.7999999523163,63.924998283386,0.7256153712649386,82.0
57,57,57,57,57,57,57,57,1.7,1171.75,46.0,5.390103939543701,782.75,85.0,1178.5,1379.75,995.5,7.8000000715256,67.52499961853,0.7173121148941005,93.0
58,58,58,58,58,58,58,58,1.35,1147.0,56.0,6.199041963295953,821.0,109.0,1132.25,1411.75,991.5,7.0,71.075000762939,0.7157784693036635,83.0
59,59,59,59,59,59,59,59,1.0,978.25,30.0,2.577932199377853,624.75,62.0,1420.25,1274.25,819.25,8.2999999523163,63.574999809265,0.6981546204756909,65.0
60,60,60,60,60,60,60,60,1.2,1099.5,27.0,2.908548009422834,646.25,53.0,1406.25,1267.5,835.0,7.2000000476837,67.47500038147,0.6886721470838881,60.0
61,61,61,61,61,61,61,61,1.5,1112.25,47.0,5.136255828724421,770.25,139.0,1228.0,1408.5,939.75,6.3499999046326,71.89999961853,0.6931985587343715,77.0
62,62,62,62,62,62,62,62,2.7,1335.5,132.0,11.817138600992353,1043.25,256.0,935.25,1678.0,1191.75,6.450000166893,71.550001144409,0.6944754797176015,96.0
63,63,63,63,63,63,63,63,3.7,1408.3333333333,239.0,15.140161198407569,1153.0,295.0,830.33333333333,1776.6666666667,1411.0,9.5666666030884,59.666667938232,0.7123665611992754,119.0
64,64,64,64,64,64,64,64,3.2,1447.0,160.0,12.913063095907155,1080.75,250.0,868.5,1666.75,1465.0,12.375,51.175000190735,0.7334583850640767,126.0
65,65,65,65,65,65,65,65,4.1,1541.5,283.0,16.133508844949027,1183.75,296.0,808.25,1779.75,1582.5,15.649999856949,42.199999809265,0.7450937577774329,158.0
66,66,66,66,66,66,66,66,3.6,1451.25,210.0,14.019301019815009,1117.25,239.0,875.25,1679.25,1387.25,18.400000095367,33.824999809265,0.708963570176462,161.0
67,67,67,67,67,67,67,67,2.8,1328.25,154.0,12.279664077200536,1059.25,153.0,986.5,1599.5,1100.5,19.35000038147,31.275000095367,0.6950081047527402,124.0
68,68,68,68,68,68,68,68,2.0,1206.5,112.0,8.618412576532277,924.25,118.0,1087.75,1488.25,849.75,18.02499961853,34.800000190735,0.7126738741944919,102.0
69,69,69,69,69,69,69,69,2.0,1239.5,108.0,9.196566740238415,947.0,119.0,1049.0,1531.75,947.0,18.375,33.64999961853,0.704207020809635,116.0
70,70,70,70,70,70,70,70,2.5,1306.0,111.0,10.244887084344466,986.75,138.0,1004.0,1554.0,1078.0,17.625,35.10000038147,0.7012032509364389,124.0
71,71,71,71,71,71,71,71,2.3,1326.0,97.0,10.611844460473735,1000.25,148.0,975.5,1601.5,1083.75,16.675000190735,37.799999237061,0.7117364038435915,125.0
72,72,72,72,72,72,72,72,3.2,1472.75,191.0,15.452209964915284,1162.75,227.0,830.5,1779.0,1394.75,16.099999904633,41.02499961853,0.7451314943585404,148.0
73,73,73,73,73,73,73,73,4.2,1609.0,258.0,19.636784663917272,1286.25,277.0,757.5,1922.0,1611.5,15.825000047684,42.400000572205,0.7569143276676089,165.0
74,74,74,74,74,74,74,74,4.2,1610.75,284.0,19.20272791618361,1274.0,279.0,754.25,1915.0,1697.25,15.650000095367,44.10000038147,0.7786406550707863,161.0
75,75,75,75,75,75,75,75,4.2,1620.5,269.0,18.26931035714972,1247.25,283.0,762.0,1860.0,1885.5,15.325000047684,46.775000572205,0.8091244285768237,159.0
76,76,76,76,76,76,76,76,3.1,1444.25,180.0,13.14470430189378,1088.5,214.0,844.0,1747.5,1623.75,14.649999856949,48.625,0.8059694141072296,143.0
77,77,77,77,77,77,77,77,2.6,1418.0,116.0,10.873367154415863,1009.75,172.0,892.0,1603.0,1536.25,14.700000286102,49.275000572205,0.8193361244198358,130.0
78,78,78,78,78,78,78,78,2.9,1533.5,93.0,10.963457959141822,1013.0,190.0,888.5,1610.75,1534.75,13.949999809265,53.60000038147,0.8497717204331877,129.0
79,79,79,79,79,79,79,79,2.8,1483.5,131.0,11.86017851848332,1044.75,174.0,879.75,1624.25,1529.75,14.649999856949,51.5,0.8536231326791223,119.0
80,80,80,80,80,80,80,80,2.5,1366.75,92.0,8.624678823055866,924.5,128.0,952.5,1543.0,1337.0,12.549999952316,58.900000572205,0.8537400738793904,104.0
81,81,81,81,81,81,81,81,2.4,1344.0,132.0,9.737786456670191,967.75,163.0,920.5,1619.75,1278.25,11.649999856949,63.425000190735,0.8674492315744939,90.5
82,82,82,82,82,82,82,82,1.4,1129.5,56.0,5.191654203204007,773.0,70.0,1130.25,1451.75,1050.5,12.099999904633,61.100001335144,0.8603162131672637,82.0
83,83,83,83,83,83,83,83,1.2,1062.0,32.0,3.650423146324865,691.0,53.0,1271.5,1376.75,929.0,11.475000143051,63.10000038147,0.8532753834381319,70.0
84,84,84,84,84,84,84,84,1.0,1075.75,29.0,2.4813419346402656,618.25,44.0,1395.25,1333.0,872.25,11.599999904633,62.150000572205,0.8472636259100265,63.0
85,85,85,85,85,85,85,85,0.9,1028.25,27.0,2.4299844022774177,614.75,74.0,1383.5,1340.0,853.0,10.399999856949,67.649998664856,0.8529987302926639,67.0
86,86,86,86,86,86,86,86,1.4,1154.5,36.0,4.210510136054915,722.25,101.0,1224.75,1413.75,959.25,11.574999809265,62.674999237061,0.8530382230087753,84.0
87,87,87,87,87,87,87,87,1.6,1235.25,57.0,6.352276711074662,828.0,118.0,1055.25,1527.0,1093.25,12.424999952316,60.0,0.8627151273296463,83.0
88,88,88,88,88,88,88,88,2.2,1331.5,129.0,8.587110474608117,923.0,144.0,951.75,1613.75,1225.0,14.525000095367,53.074999809265,0.8727816223552813,98.0
89,89,89,89,89,89,89,89,2.8,1444.75,148.0,10.859535166937013,1009.25,176.0,878.25,1696.0,1355.25,16.875000476837,46.099999427795,0.8789310942666374,114.0
90,90,90,90,90,90,90,90,2.8,1415.5,145.0,10.659815662688954,1002.0,161.0,906.75,1676.5,1261.5,19.300000190735,38.25,0.8474048021414429,119.0
91,91,91,91,91,91,91,91,2.0,1281.25,93.0,7.540072456167103,880.0,113.0,1083.75,1525.0,980.0,21.174999713898,31.449999809265,0.7811957165002227,104.0
92,92,92,92,92,92,92,92,1.8,1207.25,84.0,7.504598795037856,878.5,103.0,1103.5,1489.5,872.25,21.424999713898,30.199999809265,0.7615918767626616,102.0
93,93,93,93,93,93,93,93,1.9,1257.75,99.0,8.160112924625768,905.75,112.0,1081.25,1511.0,900.25,21.925000190735,28.950000286102,0.7524589545694458,107.0
94,94,94,94,94,94,94,94,3.0,1457.75,150.0,11.867358322901142,1045.0,170.0,973.75,1646.0,1098.5,22.224999904633,28.39999961853,0.7516273241188697,129.0
95,95,95,95,95,95,95,95,2.9,1437.75,156.0,12.033004745084428,1050.75,180.0,942.5,1667.5,1206.25,21.299999713898,30.75,0.7696154919144513,128.0
96,96,96,96,96,96,96,96,2.5,1477.75,122.0,12.163323306748472,1055.25,160.0,929.25,1670.75,1262.25,19.650000095367,36.699999809265,0.8307061318496992,121.0
97,97,97,97,97,97,97,97,4.6,1807.5,262.0,20.57171487732563,1312.25,261.0,753.25,1992.75,1697.75,18.374999523163,41.72500038147,0.8731957705577488,157.0
98,98,98,98,98,98,98,98,5.9,1898.0,341.0,23.142125805295404,1381.25,325.0,680.5,2102.75,1904.75,17.625,46.099999427795,0.9209535360575976,173.0
99,99,99,99,99,99,99,99,3.4,1559.5,214.0,14.720453409836011,1139.75,217.0,783.75,1817.5,1648.0,16.650000095367,49.575000762939,0.9319900473249648,146.0
100,100,100,100,100,100,100,100,2.1,1324.25,100.0,9.004199247323303,939.5,146.0,923.5,1587.0,1422.75,16.25,50.950000762939,0.9341472131622556,121.0
101,101,101,101,101,101,101,101,2.2,1348.75,79.0,8.83888507899354,933.0,152.0,933.0,1616.5,1348.75,14.725000143051,55.925000190735,0.9313856224921276,119.0
102,102,102,102,102,102,102,102,1.8,1238.75,66.0,7.357560374878767,872.25,104.0,985.0,1546.5,1250.25,14.825000047684,54.675001144409,0.9163543254683044,99.0
103,103,103,103,103,103,103,103,1.8,1239.0,73.0,6.918207216219388,853.25,106.0,1010.25,1543.25,1173.75,14.049999952316,57.0,0.9094489367663466,93.0
104,104,104,104,104,104,104,104,1.8,1223.75,66.0,6.958191195775006,855.0,108.0,998.25,1565.75,1148.75,13.350000143051,61.349999427795,0.936085703142246,88.0
105,105,105,105,105,105,105,105,1.1,1078.25,44.0,4.429862930483551,734.0,209.65,1128.25,1486.75,1020.5,12.599999904633,63.474999427795,0.9230174218998716,122.55
106,106,106,106,106,106,106,106,1.3,1077.5,44.0,3.9959242929204266,710.5,66.0,1150.0,1467.5,1012.75,12.349999904633,65.35000038147,0.9351122865764488,71.0
107,107,107,107,107,107,107,107,1.0,1074.5,39.0,3.865914337574949,703.25,88.0,1155.75,1463.75,1010.0,11.899999856949,67.449998855591,0.9375381769341324,74.0
108,108,108,108,108,108,108,108,1.4,1156.75,51.0,6.385320090079159,829.5,138.0,1029.5,1584.0,1083.0,11.375,70.52499961853,0.9475162243381904,80.0
109,109,109,109,109,109,109,109,2.2,1314.0,107.0,9.685046806517573,965.75,228.0,896.75,1710.25,1234.75,11.324999809265,70.200000762939,0.940095096018487,89.0
110,110,110,110,110,110,110,110,5.5,1796.75,336.0,25.87045766099893,1451.0,360.0,652.0,2323.0,1679.5,12.400000095367,63.875000953674,0.916954694148268,114.0
111,111,111,111,111,111,111,111,8.1,1961.25,618.0,36.69206253067248,1701.0,478.0,536.75,2665.25,2184.25,14.774999856949,54.324999809265,0.9076095360418625,149.0
112,112,112,112,112,112,112,112,5.8,1770.5,438.0,26.6360247644022,1470.0,394.0,621.5,2261.5,1973.0,17.400000095367,45.64999961853,0.8992981706467373,157.0
113,113,113,113,113,113,113,113,4.2,1563.5,334.0,20.11092309343549,1299.5,319.0,709.75,2029.0,1798.25,19.800000190735,38.525000572205,0.880059991386787,155.0
114,114,114,114,114,114,114,114,3.1,1430.0,221.0,14.096485799877708,1119.75,201.0,830.5,1783.25,1522.0,22.025000095367,34.050000190735,0.8903685188126028,134.0
115,115,115,115,115,115,115,115,2.9,1417.25,207.0,14.9257192296359,1146.25,171.0,829.5,1830.5,1404.0,23.324999809265,32.174999237061,0.9095992195673936,119.0
116,116,116,116,116,116,116,116,2.9,1400.25,191.0,15.436141471547913,1162.25,159.0,838.25,1828.5,1263.25,23.875,29.97500038147,0.8756585288124981,111.0
117,117,117,117,117,117,117,117,2.5,1317.25,185.0,12.09085021877653,1052.75,153.0,926.0,1706.75,1137.0,24.449999809265,28.900000095367,0.873591912397843,104.0
118,118,118,118,118,118,118,118,2.3,1317.75,141.0,11.524820242423964,1033.0,143.0,949.75,1675.0,1068.0,24.375,29.39999961853,0.8847617117200978,99.0
119,119,119,119,119,119,119,119,2.8,1445.25,214.0,14.75983347170136,1141.0,156.0,856.5,1823.5,1251.5,23.849999904633,31.325000762939,0.913735211108514,110.0
120,120,120,120,120,120,120,120,6.1,1917.0,471.0,32.14884367945396,1600.5,314.0,631.25,2447.0,1843.25,22.549999237061,35.375000953674,0.9546998207473484,162.0
121,121,121,121,121,121,121,121,8.0,2039.75,685.0,39.20233967931091,1754.25,404.0,542.25,2679.0,2122.25,20.425000667572,42.5,1.0086313341074231,187.0
122,122,122,122,122,122,122,122,6.5,1894.75,538.0,30.961305060452627,1573.25,320.0,565.0,2442.75,1991.5,18.275000095367,52.625000953674,1.0945180933132783,165.0
123,123,123,123,123,123,123,123,4.2,1594.5,319.0,19.89562146325444,1293.5,256.0,678.25,2057.5,1707.0,16.650000095367,57.375,1.0786268914239705,145.0
124,124,124,124,124,124,124,124,3.2,1438.5,224.0,15.31585504960172,1158.5,193.0,764.25,1856.25,1494.25,15.699999809265,60.150000572205,1.0653715549625935,125.0
125,125,125,125,125,125,125,125,1.4,1141.5,67.0,6.895403347240391,852.25,89.0,1008.25,1547.25,1164.25,15.250000238419,61.449998855591,1.057955499077892,101.0
126,126,126,126,126,126,126,126,2.1,1303.6666666667,155.0,11.139929168771715,1019.3333333333,127.0,852.33333333333,1731.3333333333,1271.6666666667,14.066666603088,65.699999491374,1.049372403097042,103.0
127,127,127,127,127,127,127,127,1.2,1074.25,49.0,5.40550061636386,783.5,79.0,1097.75,1483.0,1039.75,14.825000047684,60.550001144409,1.0148194658330398,88.0
128,128,128,128,128,128,128,128,0.8,968.0,29.0,2.810688037123539,640.0,43.0,1319.5,1385.75,866.75,14.75,59.224999427795,0.9879081107816498,61.0
129,129,129,129,129,129,129,129,0.7,929.25,25.0,2.325061547147355,607.5,29.0,1375.5,1364.25,825.75,13.624999761581,62.050000190735,0.9635549956184192,42.0
130,130,130,130,130,130,130,130,1.0,941.0,25.0,2.5891783027743425,625.5,59.0,1315.75,1373.25,839.75,12.324999809265,66.150000572205,0.9450361951968504,59.0
131,131,131,131,131,131,131,131,0.6,937.0,17.0,2.008742634517473,584.75,38.0,1411.5,1348.0,792.5,12.75,63.22500038147,0.9282898040213576,52.0
132,132,132,132,132,132,132,132,0.9,1017.0,27.0,3.4826893251173856,681.25,82.0,1245.75,1417.5,869.5,11.174999952316,68.47500038147,0.9081071231015928,64.0
133,133,133,133,133,133,133,133,1.3,1171.25,50.0,5.131232180692032,770.0,99.0,1161.75,1466.75,930.0,10.975000143051,66.5,0.8705229495981881,70.0
134,134,134,134,134,134,134,134,3.4,1541.0,218.0,16.17445704918363,1185.0,263.0,770.0,1888.75,1406.5,11.674999952316,63.650000572205,0.8719365877065632,97.0
135,135,135,135,135,135,135,135,3.7,1539.25,285.0,19.663493856394243,1287.0,229.0,697.5,2054.75,1507.0,13.625,56.299999237061,0.8742650471769098,95.0
136,136,136,136,136,136,136,136,5.3,1734.75,437.0,25.05515030336349,1430.5,396.0,628.25,2211.0,1843.25,17.824999332428,42.875,0.8672254631723162,150.0
137,137,137,137,137,137,137,137,4.1,1571.0,327.0,20.00314878286116,1296.5,314.0,730.0,1972.75,1729.0,21.449999809265,33.324999332428,0.8416712958240697,162.0
138,138,138,138,138,138,138,138,3.3,1451.75,283.0,18.347057576589474,1249.5,217.0,775.5,1868.25,1583.25,24.375,27.35000038147,0.8230691655452694,154.0
139,139,139,139,139,139,139,139,4.0,1579.0,366.0,22.30858297567,1359.25,252.0,724.0,1997.75,1670.75,25.250000476837,26.075000286102,0.8263807552458209,161.0
140,140,140,140,140,140,140,140,3.8,1466.25,318.0,20.44477997926457,1308.75,263.0,772.5,1897.0,1491.25,25.825000286102,23.150000095367,0.7589369630881299,161.0
141,141,141,141,141,141,141,141,2.8,1279.75,228.0,14.610427960363092,1136.25,180.0,892.75,1675.25,1239.75,27.0,20.200000286102,0.7093615130294146,128.0
142,142,142,142,142,142,142,142,2.9,1407.0,201.0,16.553254344130867,1196.5,184.0,905.25,1758.75,1313.0,28.249999523163,18.574999809265,0.7013857388336394,129.0
143,143,143,143,143,143,143,143,2.9,1388.75,199.0,15.78318309681854,1173.0,190.0,898.25,1739.0,1363.25,27.974999904633,19.10000038147,0.709825085363188,133.0
144,144,144,144,144,144,144,144,3.4,1447.25,237.0,17.83994777641898,1234.75,184.0,858.75,1778.0,1295.75,23.900000095367,25.699999809265,0.7518910408124666,139.0
145,145,145,145,145,145,145,145,3.9,1551.0,261.0,19.09705933715707,1271.0,181.0,800.25,1874.5,1432.25,21.349999904633,34.77499961853,0.8729931333855647,137.0
146,146,146,146,146,146,146,146,3.2,1473.5,230.0,15.766968720541028,1172.5,166.0,854.25,1776.0,1431.75,20.425000190735,36.675000190735,0.870389489318189,143.0
147,147,147,147,147,147,147,147,5.1,1799.5,349.0,24.877671870607216,1426.0,317.0,700.0,2105.5,2033.5,19.025000095367,41.349999427795,0.9007307308826996,177.0
148,148,148,148,148,148,148,148,2.6,1379.25,183.0,13.529604730694471,1101.25,184.0,817.5,1710.0,1601.75,17.925000190735,45.900000572205,0.9341860450216593,138.0
149,149,149,149,149,149,149,149,1.7,1200.5,88.0,9.087345626567226,942.75,130.0,935.0,1559.75,1361.75,16.700000286102,48.925000190735,0.9226499255272292,117.0
150,150,150,150,150,150,150,150,1.7,1204.75,85.0,8.630947011140279,924.75,132.0,922.0,1546.5,1314.25,15.524999856949,52.925000190735,0.9271282297880028,107.0
151,151,151,151,151,151,151,151,1.2,1071.5,47.0,5.415775467693622,784.0,95.0,1065.5,1441.75,1113.75,15.475000143051,51.875,0.905875280404742,90.0
152,152,152,152,152,152,152,152,0.9,997.75,34.0,4.050256979222614,713.5,70.0,1169.25,1383.25,991.5,14.125,55.575000762939,0.8909558056211343,79.0
153,153,153,153,153,153,153,153,0.7,933.25,26.0,2.5816785814911887,625.0,94.55,1291.5,1331.5,883.75,13.050000190735,57.900000572205,0.8666330082051409,82.15
154,154,154,154,154,154,154,154,1.1,882.75,17.0,1.8989345905963813,576.5,54.0,1396.0,1303.25,808.25,12.650000333786,57.900000572205,0.8446603528823093,60.0
155,155,155,155,155,155,155,155,0.5,868.75,11.0,1.6068282575436197,553.5,28.0,1459.5,1267.75,667.0,11.824999809265,58.025000572205,0.8026319321159456,40.0
156,156,156,156,156,156,156,156,0.5,890.75,18.0,1.8956482143938893,576.25,46.0,1416.5,1289.25,733.0,11.900000095367,57.39999961853,0.7978457040872352,53.0
157,157,157,157,157,157,157,157,1.6,1172.75,84.0,7.486888715241108,877.75,160.0,1038.0,1556.25,1051.75,9.9000000953674,65.199999809265,0.7956455570632858,84.0
