,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin,target
22,22,22,22,22,5,3,6,1,3,0,1,0,0,0,0,0,0,0,11,1,0,0,0.6,0.4,0.742041104,5,0,0,0,0,14,1,1,0,1,29,3,0.4472135954999999,0.984434645,0.3683748091,3.3166247904,0.0,0.6,0.6,3,2,8,0,9,0,11,8,1,3,5,0,0,0,0,0,1,0
23,23,23,23,23,2,1,2,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0.2,0.2,-1.0,6,1,-1,0,0,0,1,1,0,1,95,2,0.4,0.7287343268,0.4013726447999999,2.6457513111,0.3,0.7,0.6,2,1,8,3,10,2,4,7,1,3,9,0,1,0,1,0,0,0
24,24,24,24,24,0,1,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0.4,0.2,0.5873670061999999,4,1,-1,0,0,1,1,1,0,1,104,3,0.4242640687,0.7210386219,0.4129164564,2.6457513111,0.2,0.2,0.3,2,1,7,4,7,2,11,5,1,2,8,0,1,1,1,0,0,0
25,25,25,25,25,0,1,7,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.1,0.2,-1.0,4,1,-1,8,1,11,1,1,0,1,24,2,0.5291502621999999,0.8947505308,0.5277309921,1.4142135624,0.5,0.7,0.6,2,2,9,4,10,4,9,6,4,4,4,0,0,1,1,0,1,0
26,26,26,26,26,0,1,4,1,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0.6,0.2,0.6661456297,10,1,-1,0,1,15,1,0,0,1,5,2,0.4472135954999999,1.3145954347,0.4,3.7416573868,0.9,0.5,0.2,4,2,7,2,10,0,10,4,2,4,3,0,1,1,1,0,1,0
27,27,27,27,27,4,1,6,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.9,0.8,1.0344080433,4,1,-1,0,0,11,1,1,0,1,99,2,0.316227766,0.6801039055,0.3687817783,3.3166247904,0.7,0.1,0.5,2,1,7,4,10,2,4,7,2,2,11,0,1,0,1,0,0,0
28,28,28,28,28,0,2,0,1,4,1,0,0,0,0,0,0,0,0,8,1,0,0,0.2,0.3,-1.0,4,0,-1,0,1,6,1,1,0,1,104,2,0.4472135954999999,0.720264529,0.4415880432999999,2.6457513111,0.8,0.4,0.1,2,2,10,3,9,2,5,3,2,0,8,0,1,1,0,0,0,1
29,29,29,29,29,3,2,2,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,1.0,1.1556924331,8,0,-1,0,1,10,1,1,0,1,28,3,0.3741657387,0.6424706959,0.3820994635,2.0,0.9,0.3,0.6,2,3,7,3,12,2,11,2,0,4,7,0,1,0,0,0,0,0
30,30,30,30,30,0,1,6,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0.7,0.3,0.8287792226999999,11,1,-1,0,-1,0,1,0,2,1,87,3,0.316227766,0.8454667643000001,0.3615245497,3.7416573868,0.1,0.4,0.2,3,2,8,0,9,3,5,5,3,1,11,0,1,0,0,1,0,0
31,31,31,31,31,1,1,2,1,6,0,0,1,0,0,0,0,0,0,4,1,0,0,0.6,0.5,0.9120718173,7,1,-1,0,-1,0,1,1,3,1,66,3,0.3998749805,0.6733412431999999,0.3817066937,2.4494897428,0.1,0.4,0.8,2,4,7,4,9,2,12,7,1,2,3,0,1,1,1,0,0,0
32,32,32,32,32,2,1,2,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.7,0.3,0.8842369592,11,1,-1,0,-1,1,1,1,2,1,10,2,0.316227766,0.68511325,0.3768288736,3.1622776602,0.0,0.8,0.3,4,2,6,5,9,3,9,6,1,4,11,0,1,1,0,0,0,0
33,33,33,33,33,0,1,8,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0.5,0.3,0.6533567173,6,1,-1,0,0,6,1,1,0,1,26,1,0.3741657387,0.6014101885,0.3907684736999999,2.8284271247,0.7,0.3,0.6,3,1,7,3,7,2,12,2,1,3,11,1,0,1,0,0,1,0
34,34,34,34,34,0,1,1,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0.9,0.4,0.9222933373,11,1,1,1,0,12,1,0,2,1,104,3,0.3741657387,0.8202876939,0.307408523,3.6055512755,0.9,0.4,0.0,1,2,10,3,6,2,7,3,2,6,8,0,1,0,0,0,0,0
35,35,35,35,35,2,1,1,1,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.9,0.5,1.247497495,8,1,-1,0,1,1,1,1,0,1,64,1,0.316227766,0.6494116853999999,0.3619392214,3.1622776602,0.7,0.7,0.8,3,2,9,1,11,1,7,9,1,3,14,0,0,0,0,1,0,0
36,36,36,36,36,1,1,6,1,4,0,1,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.6031169041,7,1,-1,0,-1,0,1,1,0,1,54,3,0.4,0.9572256744,0.3826225293999999,3.6055512755,0.8,0.5,0.9,2,1,8,0,11,2,15,1,2,2,6,0,1,1,1,1,0,0
37,37,37,37,37,3,4,9,1,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0.9,0.4,0.7206767653,6,1,-1,0,1,0,1,1,0,1,32,1,0.316227766,0.6422616289,0.3615245497,3.3166247904,0.0,0.2,0.3,2,3,8,4,8,3,12,4,1,1,7,0,0,1,1,0,0,0
38,38,38,38,38,4,1,9,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0.9,1.3,0.938416219,6,1,-1,0,1,11,1,1,0,1,19,3,0.316227766,0.6427761329,0.3887158345,2.6457513111,0.1,0.5,0.1,1,1,7,4,10,3,7,5,0,4,6,0,1,0,0,1,0,0
39,39,39,39,39,2,1,3,1,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0.3,0.0,0.9209370228,6,1,-1,0,-1,1,1,1,0,1,38,3,0.316227766,0.7401648520999999,0.3598610843,3.4641016151,0.7,0.3,0.6,4,0,9,4,10,2,10,6,0,8,14,0,1,0,1,0,0,1
40,40,40,40,40,2,1,4,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.9,0.3,0.6941721688,7,0,-1,0,-1,10,1,1,2,1,83,2,0.4084115571,0.6537242323,0.3974921382999999,1.7320508076,0.8,0.6,0.9,3,0,8,4,9,4,4,9,3,1,9,0,1,1,1,0,1,0
41,41,41,41,41,5,2,1,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0.8,0.3,0.8124038404999999,11,0,-1,0,-1,10,1,1,2,1,89,2,0.3872983346,1.0238983195,0.4086563347999999,3.6055512755,0.1,0.7,0.5,4,1,8,1,10,4,6,5,2,0,7,1,1,0,0,0,0,1
42,42,42,42,42,1,1,9,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.5,0.6,0.7275816104999999,7,1,-1,0,-1,11,1,1,0,1,99,2,0.316227766,0.596390659,0.3687817783,2.8284271247,0.5,0.9,0.9,2,4,8,2,11,3,9,0,0,2,5,0,1,1,0,1,1,0
43,43,43,43,43,6,1,5,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0.7,0.6,1.7038559211000002,10,1,-1,0,1,14,1,1,0,1,49,3,0.4,0.7894225843000001,0.3685105154999999,3.4641016151,0.0,0.0,0.2,0,3,8,3,10,1,6,3,2,3,6,0,1,0,1,0,0,0
44,44,44,44,44,5,2,2,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0.6,0.0,1.007472084,11,1,-1,0,-1,9,1,1,2,1,93,3,0.4,0.9557459983,0.3872983346,3.7416573868,0.9,0.5,0.1,5,3,9,3,10,1,11,8,1,7,8,0,1,1,0,1,0,0
45,45,45,45,45,1,1,6,1,3,0,0,1,0,0,0,0,0,0,8,0,1,0,0.3,0.0,1.1768602296,11,1,1,0,0,11,1,1,2,1,103,3,0.316227766,0.6667269257,0.2887905816,3.4641016151,0.6,0.4,0.5,2,2,7,2,12,0,4,4,1,4,6,1,1,0,0,0,0,0
46,46,46,46,46,5,1,9,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0.4,0.3,0.7224091638,11,1,1,0,1,14,1,1,2,1,49,3,0.4,0.7280251789,-1.0,3.3166247904,0.9,0.3,0.4,3,1,8,4,10,0,7,9,0,3,10,0,0,1,0,0,0,0
47,47,47,47,47,0,1,9,0,0,0,1,0,0,0,0,1,0,1,5,1,0,0,0.1,0.2,-1.0,7,1,0,2,0,1,1,1,2,1,1,0,0.4242640687,0.9707818269,0.3468429039,3.6055512755,0.0,0.6,0.7,2,3,8,4,11,0,5,4,5,3,11,0,1,1,0,1,0,0
48,48,48,48,48,2,1,6,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.6,0.2,0.5338539125999999,11,1,1,0,0,0,1,1,1,1,22,3,0.316227766,0.7186275947,0.310322413,3.1622776602,0.0,0.2,0.2,1,1,9,3,10,3,9,7,1,2,3,0,0,1,0,0,0,0
49,49,49,49,49,4,2,4,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.9,0.9,1.4568802284,11,1,-1,0,-1,1,1,1,2,1,85,3,0.4,0.8936298898999999,0.4074309757,3.4641016151,0.9,0.2,0.1,2,2,7,6,9,3,7,10,1,2,13,0,0,1,0,0,0,0
50,50,50,50,50,3,1,2,1,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0.9,0.8,1.1166355717,11,0,0,1,0,17,1,1,1,1,104,3,0.4472135954999999,1.3238826569,0.3754996671,3.1622776602,0.3,0.3,0.0,2,2,10,3,7,0,6,7,2,5,6,0,0,1,0,1,0,0
51,51,51,51,51,6,1,6,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,0.8,0.8,1.3040801356,11,1,1,0,1,0,1,1,2,1,78,3,0.4,0.8650013137,0.3287856445,3.4641016151,0.6,0.6,0.9,1,2,8,1,6,2,9,7,3,3,5,0,1,1,1,0,1,0
52,52,52,52,52,2,2,2,1,0,0,0,1,0,0,0,0,0,0,12,0,1,0,0.9,0.3,0.5706356105,11,1,1,0,0,14,1,0,2,1,49,3,0.4,0.8421489631,0.3292415527,3.7416573868,0.8,0.1,0.9,0,4,8,6,9,4,10,4,1,6,8,0,0,1,1,0,1,0
53,53,53,53,53,0,1,1,1,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0.8,0.2,0.5232112384000001,11,1,-1,0,-1,1,1,1,0,1,38,3,0.316227766,0.7172606290000001,0.3598610843,3.3166247904,0.4,0.2,0.8,1,0,8,5,11,4,8,2,3,3,9,0,1,0,0,0,0,0
54,54,54,54,54,0,1,5,1,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.6,0.2,0.6087897831,11,1,0,0,0,14,1,1,0,1,82,3,0.316227766,0.7406162276999999,0.3292415527,3.6055512755,0.8,0.4,0.9,1,3,5,6,8,1,6,9,1,2,12,0,0,1,0,0,0,0
55,55,55,55,55,0,1,3,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.3,0.0,-1.0,7,1,-1,0,-1,0,1,1,2,1,87,3,0.316227766,0.7492282531000001,0.3615245497,3.6055512755,0.3,0.2,0.6,2,4,7,5,11,3,12,13,2,1,11,0,1,1,0,0,0,0
56,56,56,56,56,0,2,5,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.4,0.2,0.6708203932,3,1,-1,0,-1,1,1,1,-1,1,31,3,0.3741657387,0.6970717975,0.3854867053,2.8284271247,0.0,0.9,0.8,3,1,9,5,10,2,13,3,0,2,4,0,1,0,0,1,0,0
57,57,57,57,57,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9,0.4,1.0006248048,11,0,1,0,1,10,1,0,2,1,28,3,0.3872983346,0.9572445606,0.3386738843999999,3.7416573868,0.8,0.4,0.4,2,2,8,2,10,2,10,1,1,4,6,0,1,1,0,1,1,0
58,58,58,58,58,1,1,3,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.6,0.2,0.4716990565999999,7,1,-1,0,-1,0,1,1,1,1,34,2,0.4,0.8305504498,0.3780211634,3.6055512755,0.0,0.5,0.5,3,3,7,1,9,2,7,6,0,1,12,0,0,0,1,0,0,0
59,59,59,59,59,0,1,1,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0.5,0.0,0.5717298313,11,1,-1,0,-1,11,1,1,2,1,7,3,0.4235563717,0.6161061409,0.4129164564,1.7320508076,0.2,0.6,0.0,1,1,6,5,11,1,7,2,1,1,6,0,1,0,0,0,1,0
60,60,60,60,60,1,1,6,1,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.5,0.1,-1.0,6,1,-1,0,1,0,1,1,0,1,22,3,0.316227766,0.7872072459,0.374566416,3.4641016151,0.3,0.1,0.4,2,3,9,4,11,3,13,4,0,3,12,0,1,1,0,1,0,0
61,61,61,61,61,3,1,5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0.9,0.2,0.4451123454,7,1,-1,0,-1,14,1,1,2,1,82,3,0.3160696126,0.6096164625,0.3651027253,2.6457513111,0.0,0.3,0.3,4,3,8,4,8,4,12,8,3,3,12,0,1,0,1,0,0,0
62,62,62,62,62,3,2,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0.9,0.3,0.7483314774,7,1,-1,0,-1,0,1,1,2,1,87,3,0.316227766,0.7032539482,0.3615245497,3.3166247904,0.6,0.2,0.9,4,3,9,2,11,4,5,4,0,2,6,0,0,1,0,1,0,0
63,63,63,63,63,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6901086871,0,1,-1,0,0,7,1,1,0,1,104,2,0.4,0.8406019095,0.4154515615999999,3.4641016151,0.4,0.2,0.2,3,2,5,4,9,1,7,6,2,1,7,0,0,1,0,0,0,0
64,64,64,64,64,0,1,7,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.7,0.4,0.7314369419,11,1,-1,0,-1,14,1,0,0,1,8,3,0.3872983346,0.9183168218,-1.0,3.7416573868,0.1,0.9,0.8,3,1,8,3,7,3,7,5,5,1,5,0,1,0,0,0,0,0
65,65,65,65,65,6,1,3,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0.3,0.0,0.679613861,4,1,-1,0,0,1,1,1,0,1,38,3,0.316227766,0.7075449348,0.3598610843,3.3166247904,0.5,0.4,0.3,2,3,8,4,8,3,8,3,2,3,16,0,0,0,0,0,0,1
66,66,66,66,66,4,3,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.2,0.3,-1.0,6,1,-1,0,0,11,1,0,0,1,3,2,0.4242640687,1.2409215784,0.4349712634,3.6055512755,0.9,0.5,0.8,2,1,8,2,10,4,11,9,6,3,8,0,1,1,1,0,0,0
67,67,67,67,67,4,2,1,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0.8,0.2,0.577169819,6,1,-1,0,1,0,1,1,0,1,46,3,0.4,0.7176350047,0.3663331817,3.0,0.6,0.0,0.8,3,3,7,2,8,2,11,4,2,1,10,1,1,1,1,0,0,0
68,68,68,68,68,1,1,3,1,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0.9,1.0,1.4540890619,11,0,-1,0,-1,6,1,1,2,1,27,3,0.4,0.7811968990000001,0.3907684736999999,3.1622776602,0.0,0.8,0.5,3,1,8,3,9,3,10,3,2,3,7,0,0,1,1,1,0,0
69,69,69,69,69,2,1,2,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0.7,0.5,0.9117291264,11,1,1,0,0,6,1,0,2,1,104,3,0.4,1.0373599676,0.3560898763,3.6055512755,0.6,0.1,0.4,3,2,7,2,9,4,8,8,1,1,11,0,0,1,1,0,0,0
70,70,70,70,70,0,1,6,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0.1,0.2,-1.0,7,1,-1,0,-1,0,1,1,2,1,87,3,0.316227766,0.7014006059000001,0.3615245497,3.3166247904,0.4,0.8,0.9,3,2,8,4,8,2,11,2,2,3,7,0,1,0,0,0,0,0
71,71,71,71,71,3,2,5,1,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0.7,0.2,0.6046693311,7,1,-1,0,-1,1,1,1,2,1,64,3,0.316227766,0.6621402813,0.3619392214,3.1622776602,0.4,0.2,0.0,1,1,9,2,9,2,13,9,1,2,9,0,1,1,0,1,0,0
72,72,72,72,72,1,2,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.4,0.0,0.4465142775,11,1,-1,0,-1,1,1,1,1,1,38,3,0.316227766,0.7051610214,0.3598610843,3.3166247904,0.0,0.5,0.3,0,3,6,6,11,2,5,8,3,5,12,1,1,1,0,0,0,0
73,73,73,73,73,5,1,9,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.1,0.3,-1.0,7,1,0,0,1,11,1,1,2,1,104,1,0.423792402,0.3773001085,-1.0,0.0,0.2,0.1,0.6,3,2,7,1,9,4,9,5,1,2,2,0,1,1,0,0,0,0
74,74,74,74,74,0,1,2,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.4,0.7,1.1357816692,9,1,1,0,1,1,1,0,2,1,25,3,0.4,0.9070573847,-1.0,3.6055512755,0.9,0.8,0.6,2,1,8,3,7,5,7,6,2,3,6,0,0,0,0,0,1,0
75,75,75,75,75,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7,0.2,0.8351646544,11,1,-1,0,-1,1,1,1,0,1,85,3,0.3741657387,0.7428446552,0.3974921382999999,3.0,0.0,0.8,0.6,2,2,8,2,8,2,4,4,3,1,5,0,1,0,1,1,0,0
76,76,76,76,76,2,2,5,1,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0.9,0.8,0.8437268515,11,1,-1,0,-1,1,1,1,2,1,85,3,0.4242640687,0.7691763331,0.4159326868999999,2.8284271247,0.6,0.8,0.4,4,1,8,5,8,3,8,2,1,2,8,0,1,1,1,1,0,0
77,77,77,77,77,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.6,1.0744184473,11,1,-1,0,-1,0,1,1,1,1,87,3,0.316227766,0.7488834664,0.3615245497,3.6055512755,0.3,0.3,0.3,1,2,9,4,10,2,9,3,1,2,11,0,0,1,0,1,0,0
78,78,78,78,78,2,2,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.7,0.9685685314,11,0,-1,1,-1,9,1,1,0,1,61,3,0.4472135954999999,1.0149196931,0.5204805472,3.4641016151,0.8,0.2,0.8,1,2,7,4,9,0,8,8,1,1,5,0,0,1,0,0,0,0
