,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag_N,store_and_fwd_flag_Y,trip_duration
45,45,45,45,45,45,1290717,1,1,-73.98154449462889,40.75899887084961,-73.97071838378906,40.76065444946289,1,0,623
46,46,46,46,46,46,1076188,2,3,-74.00364685058594,40.73418426513672,-74.000732421875,40.7307243347168,1,0,230
47,47,47,47,47,47,1189720,2,2,-73.972900390625,40.78677368164063,-73.94762420654298,40.834915161132805,1,0,642
48,48,48,48,48,48,1053594,2,3,-73.97315216064453,40.780029296875,-73.96832275390625,40.7906608581543,1,0,230
49,49,49,49,49,49,686576,2,6,-73.97187042236328,40.758403778076165,-73.9679183959961,40.75786972045898,1,0,386
50,50,50,50,50,50,388273,2,2,-73.98048400878906,40.78346252441406,-73.95332336425781,40.77671813964844,1,0,631
51,51,51,51,51,51,1004139,1,1,-73.97159576416014,40.76616668701172,-73.96800994873048,40.75263214111328,1,0,443
52,52,52,52,52,52,211,2,2,-73.98435974121092,40.748985290527344,-73.99628448486328,40.71605682373047,1,0,622
53,53,53,53,53,53,250172,2,1,-73.98438262939453,40.7370491027832,-73.98533630371094,40.746280670166016,1,0,728
54,54,54,54,54,54,1053535,1,1,-73.9925308227539,40.68355941772461,-73.96355438232422,40.651416778564446,1,0,995
55,55,55,55,55,55,61904,2,1,-74.00701904296875,40.72573852539063,-73.95665740966798,40.74851989746094,1,0,1829
56,56,56,56,56,56,1174079,1,1,-73.92412567138672,40.769824981689446,-73.97762298583984,40.74967193603516,1,0,794
57,57,57,57,57,57,40619,2,1,-73.98092651367188,40.74196243286133,-73.92174530029298,40.74329376220703,1,0,739
58,58,58,58,58,58,1159867,1,1,-73.97631072998048,40.78583526611328,-73.97154998779298,40.787891387939446,1,0,70
59,59,59,59,59,59,1093099,1,4,-73.98857116699219,40.75875473022461,-73.86470794677734,40.834285736083984,1,0,3582
60,60,60,60,60,60,1034984,2,1,-74.00650024414062,40.73967742919922,-74.00687408447266,40.74409103393555,1,0,365
61,61,61,61,61,61,1108808,1,2,-73.98881530761719,40.72150802612305,-74.00443267822266,40.707061767578125,1,0,502
62,62,62,62,62,62,372767,2,1,-73.97371673583984,40.748008728027344,-73.97853088378906,40.74497985839844,1,0,205
63,63,63,63,63,63,1195822,2,1,-73.98554992675781,40.738529205322266,-73.98882293701173,40.74848175048828,1,0,507
64,64,64,64,64,64,1179806,2,4,-73.9486312866211,40.78493881225586,-73.97136688232422,40.74528884887695,1,0,363
65,65,65,65,65,65,316254,1,1,-73.93529510498048,40.698028564453125,-73.94961547851561,40.715576171875,1,0,534
66,66,66,66,66,66,123935,1,4,-73.98892211914062,40.73665618896485,-73.98138427734375,40.74125289916992,1,0,231
67,67,67,67,67,67,58734,2,3,-74.00029754638672,40.728759765625,-73.98110961914062,40.74470138549805,1,0,985
68,68,68,68,68,68,1006344,1,1,-73.98627471923827,40.74730682373047,-73.99465942382812,40.769325256347656,1,0,1206
69,69,69,69,69,69,608150,1,1,-73.97271728515625,40.76485443115234,-73.91144561767578,40.77657318115234,1,0,1053
70,70,70,70,70,70,1042847,2,1,-73.97337341308594,40.78702926635742,-73.98148345947266,40.784088134765625,1,0,213
71,71,71,71,71,71,117801,2,1,-73.96002197265625,40.79804611206056,-73.94003295898438,40.80133819580078,1,0,474
72,72,72,72,72,72,815558,1,1,-73.98089599609375,40.729656219482415,-73.97625732421875,40.72343444824219,1,0,292
73,73,73,73,73,73,1188537,2,1,-74.00204467773438,40.747661590576165,-74.00535583496092,40.71126174926758,1,0,957
74,74,74,74,74,74,302286,2,2,-73.95132446289062,40.8251953125,-73.93431091308595,40.845317840576165,1,0,524
75,75,75,75,75,75,778252,2,1,-74.00083923339844,40.73182678222656,-73.98532104492188,40.73240661621094,1,0,489
76,76,76,76,76,76,1354266,2,1,-73.9881820678711,40.73363876342773,-73.99436950683594,40.719486236572266,1,0,474
77,77,77,77,77,77,973533,2,2,-73.98932647705078,40.71901321411133,-73.99514770507811,40.66609954833984,1,0,742
78,78,78,78,78,78,256764,1,1,-73.98967742919923,40.752716064453125,-73.9952621459961,40.71762847900391,1,0,1722
79,79,79,79,79,79,402986,2,2,-73.87296295166014,40.7740592956543,-73.99930572509764,40.73934173583984,1,0,1442
80,80,80,80,80,80,647561,1,1,-73.99274444580078,40.7409782409668,-73.98841094970702,40.73363494873047,1,0,311
81,81,81,81,81,81,1100127,1,1,-73.99326324462889,40.752300262451165,-73.9957504272461,40.733036041259766,1,0,658
82,82,82,82,82,82,1059581,2,1,-74.0125732421875,40.702430725097656,-73.9911880493164,40.76544189453125,1,0,1211
83,83,83,83,83,83,1144423,2,1,-73.98416137695312,40.737430572509766,-73.96263885498048,40.766700744628906,1,0,477
84,84,84,84,84,84,649584,1,3,-73.9752655029297,40.76151657104492,-73.95830535888672,40.76698684692384,1,0,612
85,85,85,85,85,85,1063371,1,1,-73.89049530029298,40.746685028076165,-73.86829376220702,40.75234603881836,1,0,512
86,86,86,86,86,86,1048911,2,5,-73.99237823486328,40.72498321533203,-73.97575378417967,40.77957534790039,1,0,1520
87,87,87,87,87,87,455366,1,1,-73.99208068847656,40.75025177001953,-73.97256469726561,40.74660110473633,1,0,604
88,88,88,88,88,88,291572,2,1,-73.97636413574217,40.775493621826165,-73.99606323242188,40.7235221862793,1,0,1224
89,89,89,89,89,89,1111277,2,1,-73.9827423095703,40.777446746826165,-73.92208099365233,40.76616668701172,1,0,1240
90,90,90,90,90,90,782054,1,1,-73.9987030029297,40.72957611083984,-73.97846221923827,40.72877502441406,1,0,587
91,91,91,91,91,91,1049222,1,2,-73.99198913574217,40.72561264038086,-73.99411010742188,40.75123596191406,1,0,1023
92,92,92,92,92,92,203712,1,1,-73.96422576904298,40.8024787902832,-73.94062042236328,40.829551696777344,1,0,651
93,93,93,93,93,93,832513,1,1,-73.99419403076173,40.745559692382805,-73.9814224243164,40.77857971191406,1,0,1678
94,94,94,94,94,94,1400236,1,1,-73.97783660888672,40.76365280151367,-73.99467468261719,40.71668243408203,1,0,1678
95,95,95,95,95,95,243341,2,1,-74.00798797607422,40.74022674560546,-73.98130798339844,40.74541473388672,1,0,1425
96,96,96,96,96,96,236372,2,1,-73.95189666748048,40.80421829223633,-73.9792709350586,40.77510833740234,1,0,780
97,97,97,97,97,97,1050678,2,1,-73.99667358398438,40.75783920288086,-74.01444244384764,40.7082405090332,1,0,869
98,98,98,98,98,98,1246539,1,2,-73.98314666748048,40.74276351928711,-73.99162292480467,40.74472427368164,1,0,419
99,99,99,99,99,99,1309519,2,1,-73.98470306396483,40.686920166015625,-73.98352813720702,40.695899963378906,1,0,300
100,100,100,100,100,100,18728,2,1,-73.97737884521484,40.758838653564446,-73.98358154296875,40.73844146728516,1,0,804
101,101,101,101,101,101,82047,1,1,-73.97051239013672,40.79664993286133,-73.94923400878906,40.80746841430664,1,0,664
102,102,102,102,102,102,169077,2,2,-73.97693634033203,40.75991439819336,-73.98152160644531,40.751777648925774,1,0,920
103,103,103,103,103,103,1353578,2,1,-73.96221923828125,40.77617645263672,-73.95858764648438,40.7808074951172,1,0,91
104,104,104,104,104,104,932921,2,1,-73.9903793334961,40.76152801513672,-73.99049377441406,40.761356353759766,1,0,164
105,105,105,105,105,105,911673,2,1,-73.9853286743164,40.74198913574219,-73.92759704589844,40.86553955078125,1,0,1593
106,106,106,106,106,106,1114252,1,1,-73.99503326416014,40.76977157592773,-73.99907684326173,40.74003601074219,1,0,723
107,107,107,107,107,107,624544,1,4,-73.9930648803711,40.738128662109375,-73.99285125732422,40.7451400756836,1,0,711
108,108,108,108,108,108,784525,2,1,-74.00775146484375,40.74528884887695,-73.99510192871094,40.756206512451165,1,0,495
109,109,109,109,109,109,233217,2,1,-73.98230743408203,40.73527145385742,-73.96640014648438,40.79952621459961,1,0,1208
110,110,110,110,110,110,1137297,2,1,-74.00672149658203,40.74422836303711,-74.0080795288086,40.704566955566406,1,0,801
111,111,111,111,111,111,69877,2,1,-73.9844207763672,40.749786376953125,-74.00703430175781,40.70675277709961,1,0,1149
112,112,112,112,112,112,410976,1,1,-73.9639129638672,40.77670669555664,-73.93557739257811,40.85024642944336,1,0,1115
113,113,113,113,113,113,410099,2,1,-73.99059295654298,40.74612808227539,-73.9515609741211,40.825138092041016,1,0,1812
114,114,114,114,114,114,419739,1,4,-73.9964599609375,40.74275588989258,-73.99156188964845,40.72703170776367,1,0,478
115,115,115,115,115,115,102323,1,1,-73.9768295288086,40.7589225769043,-73.95006561279298,40.78003692626953,1,0,643
116,116,116,116,116,116,615547,1,2,-73.97221374511719,40.76529693603516,-73.97700500488281,40.759063720703125,1,0,493
117,117,117,117,117,117,1443748,1,2,-73.97673034667967,40.68284606933594,-73.9561004638672,40.77545928955078,1,0,1258
118,118,118,118,118,118,125472,2,1,-73.96833038330078,40.770801544189446,-74.00386810302734,40.74193954467773,1,0,1302
119,119,119,119,119,119,363198,2,1,-73.97541046142578,40.76081085205078,-73.98193359375,40.75213623046875,1,0,1103
120,120,120,120,120,120,660561,2,2,-74.00517272949219,40.70306015014648,-73.99369049072266,40.72093963623047,1,0,418
121,121,121,121,121,121,1012200,1,2,-73.96080017089844,40.772220611572266,-73.98164367675781,40.74696350097656,1,0,752
122,122,122,122,122,122,302199,2,1,-73.9500961303711,40.80158996582031,-73.943115234375,40.78750991821289,1,0,392
123,123,123,123,123,123,88916,2,1,-73.94866943359375,40.78205490112305,-74.00457763671875,40.7229118347168,1,0,1510
124,124,124,124,124,124,11809,2,1,-73.97496795654298,40.7777214050293,-73.97388458251953,40.757427215576165,1,0,955
125,125,125,125,125,125,181720,1,1,-74.00861358642578,40.71967697143555,-73.93904113769531,40.843509674072266,1,0,1541
126,126,126,126,126,126,414497,1,4,-74.00566864013672,40.73800659179688,-73.96466064453125,40.79258728027344,1,0,1416
127,127,127,127,127,127,846956,2,1,-73.99513244628906,40.76948928833008,-73.97532653808595,40.78607940673828,1,0,444
128,128,128,128,128,128,860499,2,6,-73.99458312988281,40.71898651123047,-73.9924087524414,40.75358963012695,1,0,1119
129,129,129,129,129,129,409059,1,2,-74.00588989257811,40.74014663696289,-73.99472045898438,40.7503776550293,1,0,519
130,130,130,130,130,130,302489,1,1,-73.9949722290039,40.755176544189446,-73.99269104003906,40.748394012451165,1,0,400
131,131,131,131,131,131,1069998,2,4,-73.97557830810547,40.78691101074219,-73.9424285888672,40.834590911865234,1,0,912
132,132,132,132,132,132,1261090,1,1,-73.99057006835938,40.7612762451172,-73.99584197998048,40.7641716003418,1,0,264
133,133,133,133,133,133,1354721,2,1,-74.00215148925781,40.72957229614258,-73.9991683959961,40.74389266967773,1,0,639
134,134,134,134,134,134,524528,2,2,-73.97813415527344,40.729358673095696,-73.95403289794923,40.7844123840332,1,0,923
135,135,135,135,135,135,108139,1,1,-73.99173736572266,40.75437927246094,-73.99583435058595,40.75509643554688,1,0,685
136,136,136,136,136,136,1347920,1,1,-73.95384979248048,40.77099990844727,-73.97772979736328,40.77909469604492,1,0,403
137,137,137,137,137,137,79930,2,5,-73.99803161621094,40.719764709472656,-73.9940414428711,40.69547271728516,1,0,613
138,138,138,138,138,138,1361378,2,1,-73.98342895507811,40.7478904724121,-73.97950744628906,40.78371810913086,1,0,1111
139,139,139,139,139,139,1209664,2,2,-74.00559997558595,40.7404899597168,-73.96772766113281,40.79288864135742,1,0,1065
140,140,140,140,140,140,438370,2,1,-73.96742248535155,40.7882080078125,-73.97117614746092,40.79579162597656,1,0,287
141,141,141,141,141,141,1262885,1,1,-74.00852203369139,40.74535751342773,-73.94847106933594,40.78493881225586,1,0,1413
142,142,142,142,142,142,63669,2,1,-73.96743774414062,40.75551223754882,-73.92857360839844,40.764812469482415,1,0,675
143,143,143,143,143,143,1169959,1,2,-73.97543334960938,40.78701400756836,-73.97036743164062,40.79389572143555,1,0,84
144,144,144,144,144,144,1117277,2,1,-73.96304321289062,40.79877853393555,-73.94750213623048,40.815059661865234,1,0,548
145,145,145,145,145,145,511075,2,1,-73.91600036621092,40.7463493347168,-73.88553619384764,40.7554817199707,1,0,465
146,146,146,146,146,146,42239,2,5,-73.97171020507811,40.75943374633789,-73.95810699462889,40.781883239746094,1,0,484
147,147,147,147,147,147,619420,1,3,-73.9992446899414,40.72764587402344,-74.0059051513672,40.72709274291992,1,0,221
148,148,148,148,148,148,780196,1,1,-73.98488616943358,40.73621368408203,-73.9881591796875,40.73768997192384,1,0,72
149,149,149,149,149,149,1102940,2,1,-73.94727325439453,40.775840759277344,-73.98477172851561,40.728130340576165,1,0,725
150,150,150,150,150,150,1208010,1,1,-74.0040512084961,40.74737548828125,-74.00338745117188,40.750652313232415,1,0,440
151,151,151,151,151,151,341464,1,1,-73.99498748779298,40.755176544189446,-73.99678039550781,40.720829010009766,1,0,1079
152,152,152,152,152,152,999585,2,1,-73.98627471923827,40.747371673583984,-73.98040771484375,40.73363876342773,1,0,472
153,153,153,153,153,153,114973,1,2,-74.00736999511719,40.74312210083008,-74.00064086914062,40.720516204833984,1,0,922
154,154,154,154,154,154,1385754,1,3,-73.98328399658203,40.76681518554688,-73.98391723632812,40.766998291015625,1,0,284
155,155,155,155,155,155,567897,2,2,-73.97295379638672,40.76445770263672,-73.92800903320312,40.76317596435546,1,0,871
156,156,156,156,156,156,105386,2,1,-74.00634002685547,40.71673202514648,-73.9969482421875,40.74299621582031,1,0,762
157,157,157,157,157,157,35658,1,1,-73.97582244873048,40.77628326416016,-73.97968292236328,40.78640365600586,1,0,390
158,158,158,158,158,158,1292744,2,1,-73.98835754394531,40.73455047607422,-73.9936294555664,40.687103271484375,1,0,790
159,159,159,159,159,159,170197,2,1,-73.9881820678711,40.73455810546875,-73.94696044921875,40.71426010131836,1,0,1206
160,160,160,160,160,160,1180058,2,1,-73.96582794189453,40.75432586669922,-73.9545669555664,40.76718521118164,1,0,207
161,161,161,161,161,161,551619,1,4,-73.9885482788086,40.77497482299805,-73.97828674316406,40.78316879272461,1,0,220
162,162,162,162,162,162,903651,2,6,-73.94844818115233,40.78229522705078,-73.94961547851561,40.77093124389648,1,0,245
163,163,163,163,163,163,493674,2,1,-73.94329071044923,40.836475372314446,-73.92504119873048,40.74413299560546,1,0,1929
164,164,164,164,164,164,1093356,1,2,-73.98870086669923,40.73115921020508,-73.9503173828125,40.78057098388672,1,0,1156
165,165,165,165,165,165,580039,2,1,-73.77674865722656,40.64596939086913,-73.96048736572266,40.76797866821289,1,0,1657
166,166,166,166,166,166,580329,1,1,-73.95311737060547,40.780864715576165,-73.95018005371094,40.778900146484375,1,0,201
167,167,167,167,167,167,302395,1,4,-73.9725570678711,40.78085708618164,-73.9629364013672,40.79394912719727,1,0,290
168,168,168,168,168,168,1257106,2,1,-73.98084259033203,40.72985076904297,-73.97648620605469,40.76211166381836,1,0,617
169,169,169,169,169,169,1151049,2,6,-73.99410247802734,40.76163864135742,-73.98786163330078,40.7686882019043,1,0,141
170,170,170,170,170,170,1121410,1,1,-73.95883178710938,40.78377151489258,-73.99140930175781,40.7319221496582,1,0,2599
171,171,171,171,171,171,913122,2,2,-73.98046875,40.75363540649414,-73.96553802490233,40.80570602416992,1,0,1376
172,172,172,172,172,172,272509,1,1,-73.99544525146483,40.72163009643555,-73.96537780761719,40.755046844482415,1,0,911
173,173,173,173,173,173,113943,2,1,-73.99465179443358,40.75597381591797,-73.98750305175781,40.732818603515625,1,0,740
174,174,174,174,174,174,775880,1,1,-73.96648406982422,40.75627899169922,-73.98016357421875,40.78978729248047,1,0,707
175,175,175,175,175,175,68962,2,1,-73.99005126953125,40.771331787109375,-73.98992156982422,40.76210021972656,1,0,717
176,176,176,176,176,176,1452227,2,1,-74.00469970703125,40.734031677246094,-73.97994232177734,40.734878540039055,1,0,932
177,177,177,177,177,177,334898,2,1,-73.99712371826173,40.72230911254882,-73.98043060302734,40.7772216796875,1,0,1757
178,178,178,178,178,178,578844,2,1,-73.99825286865233,40.740398406982415,-74.00732421875,40.70518493652344,1,0,1080
179,179,179,179,179,179,831490,2,6,-73.95669555664062,40.76714706420898,-73.98057556152342,40.74924087524414,1,0,1118
180,180,180,180,180,180,213053,2,1,-73.9991455078125,40.73429870605469,-73.99285125732422,40.752925872802734,1,0,825
181,181,181,181,181,181,1331908,2,1,-73.9764633178711,40.79087829589844,-73.94029235839844,40.83300018310546,1,0,1070
182,182,182,182,182,182,1372986,1,1,-73.98615264892578,40.72631072998047,-73.99990844726561,40.734573364257805,1,0,440
183,183,183,183,183,183,854529,2,3,-73.94222259521484,40.701961517333984,-73.99777984619139,40.74039077758789,1,0,1179
184,184,184,184,184,184,1308424,1,2,-73.96262359619139,40.77569580078125,-73.97882843017578,40.76662063598633,1,0,661
185,185,185,185,185,185,198999,2,1,-73.96707916259764,40.77286148071289,-73.91710662841797,40.87973785400391,1,0,1244
186,186,186,186,186,186,1114068,1,4,-73.96826171875,40.770557403564446,-74.01242828369139,40.704299926757805,1,0,2900
187,187,187,187,187,187,1433320,2,1,-74.0003204345703,40.72871017456056,-73.9964828491211,40.72039031982422,1,0,346
188,188,188,188,188,188,1348854,2,1,-73.98725128173827,40.7658805847168,-73.99407958984375,40.761478424072266,1,0,1199
189,189,189,189,189,189,636760,1,1,-73.99412536621094,40.75106430053711,-73.9636459350586,40.75728988647461,1,0,1063
190,190,190,190,190,190,585974,1,4,-73.97811889648438,40.78349304199219,-73.95791625976561,40.774635314941406,1,0,406
191,191,191,191,191,191,693445,2,4,-73.96981811523438,40.75708770751953,-73.95052337646483,40.7722282409668,1,0,380
192,192,192,192,192,192,575513,2,1,-73.98831176757811,40.734596252441406,-73.9435806274414,40.69379425048828,1,0,1497
193,193,193,193,193,193,920182,2,2,-73.9827880859375,40.77727890014648,-73.97605895996092,40.76026153564453,1,0,512
194,194,194,194,194,194,448692,2,1,-73.98689270019531,40.736610412597656,-73.9677734375,40.76874923706056,1,0,1304
195,195,195,195,195,195,725851,1,2,-73.9728775024414,40.76435470581056,-73.98314666748048,40.731536865234375,1,0,1381
196,196,196,196,196,196,283825,1,1,-73.99275970458984,40.73728942871094,-74.00375366210938,40.71552658081056,1,0,584
197,197,197,197,197,197,319379,2,1,-73.97708892822266,40.78458023071289,-73.95365142822266,40.80696868896485,1,0,512
198,198,198,198,198,198,1217555,1,1,-73.98992919921875,40.73305130004882,-73.9885025024414,40.724098205566406,1,0,342
199,199,199,199,199,199,1452094,1,1,-73.96160125732422,40.77978897094727,-73.9681396484375,40.76697540283203,1,0,347
200,200,200,200,200,200,671364,2,1,-73.92266845703125,40.743850708007805,-73.92589569091797,40.744190216064446,1,0,44
201,201,201,201,201,201,438524,1,1,-74.00898742675781,40.706764221191406,-73.9924087524414,40.681888580322266,1,0,710
202,202,202,202,202,202,1123515,2,6,-74.00367736816406,40.74753189086913,-73.99667358398438,40.719051361083984,1,0,944
203,203,203,203,203,203,1432203,2,6,-73.98385620117188,40.72944259643555,-73.98563385009764,40.732696533203125,1,0,162
204,204,204,204,204,204,436499,2,1,-73.9927978515625,40.75844955444336,-74.01425933837889,40.71406173706056,1,0,913
205,205,205,205,205,205,870272,1,1,-73.9817657470703,40.75246810913086,-73.98686981201173,40.74431228637695,1,0,576
206,206,206,206,206,206,1383584,1,2,-73.97672271728516,40.7646484375,-73.98492431640625,40.74249267578125,1,0,993
207,207,207,207,207,207,1228307,2,3,-73.98150634765625,40.74145126342773,-74.00443267822266,40.72399139404297,1,0,650
208,208,208,208,208,208,583039,1,3,-73.9985122680664,40.74281311035156,-73.98076629638672,40.72985076904297,1,0,544
209,209,209,209,209,209,282838,1,1,-73.98110961914062,40.74159240722656,-73.98613739013672,40.73283767700195,1,0,299
210,210,210,210,210,210,282556,1,1,-73.9837188720703,40.78091049194336,-73.96971130371094,40.79872131347656,1,0,441
211,211,211,211,211,211,307886,2,1,-74.00436401367188,40.730751037597656,-73.98204040527344,40.78313064575195,1,0,1188
212,212,212,212,212,212,606990,2,5,-73.99886322021484,40.744659423828125,-73.9983673095703,40.750091552734375,1,0,175
213,213,213,213,213,213,1423365,2,1,-73.99087524414062,40.74435806274414,-73.98921966552734,40.599151611328125,1,0,2604
214,214,214,214,214,214,818666,2,3,-73.98555755615233,40.730815887451165,-73.93628692626953,40.754493713378906,1,0,906
215,215,215,215,215,215,1154051,2,1,-73.99050903320312,40.75136947631836,-73.98107147216798,40.74470138549805,1,0,453
216,216,216,216,216,216,195930,1,1,-73.96285247802734,40.76947021484375,-73.953857421875,40.77534866333008,1,0,254
217,217,217,217,217,217,150254,1,2,-74.00514221191406,40.7407684326172,-73.95874786376953,40.809818267822266,1,0,1812
218,218,218,218,218,218,1270984,2,1,-73.99659729003906,40.76329040527344,-73.99156188964845,40.75025939941406,1,0,620
219,219,219,219,219,219,1212161,1,2,-74.00017547607422,40.72715759277344,-73.98384094238281,40.74355697631836,1,0,570
220,220,220,220,220,220,971523,2,1,-73.99563598632812,40.727066040039055,-73.9777603149414,40.75106430053711,1,0,734
221,221,221,221,221,221,1135037,2,1,-73.99163055419923,40.7317008972168,-73.99498748779298,40.76015090942384,1,0,1075
222,222,222,222,222,222,490953,2,5,-73.93840789794923,40.72150039672852,-73.95054626464845,40.78326034545898,1,0,1678
223,223,223,223,223,223,887627,2,1,-73.949462890625,40.77286911010742,-73.97698974609375,40.7506217956543,1,0,698
224,224,224,224,224,224,1249415,1,2,-73.96582794189453,40.79022216796875,-73.95042419433594,40.778972625732415,1,0,664
225,225,225,225,225,225,636411,2,3,-73.98150634765625,40.78046417236328,-73.9874496459961,40.7513427734375,1,0,86258
226,226,226,226,226,226,1156109,2,1,-73.9994888305664,40.73868942260742,-74.00926971435547,40.73796844482422,1,0,282
227,227,227,227,227,227,1414995,2,1,-73.99472045898438,40.72500991821289,-73.98146820068358,40.778568267822266,1,0,1449
228,228,228,228,228,228,92861,2,1,-73.98380279541014,40.78083038330078,-73.96359252929686,40.76588821411133,1,0,793
229,229,229,229,229,229,1351575,2,2,-73.96492004394531,40.7756462097168,-73.95579528808595,40.7762565612793,1,0,281
