,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption
47,47,47,47,47,47,47,47,101,15.47,58.23,0.077,174.9,211.9,29097.72152
48,48,48,48,48,48,48,48,102,15.44,59.07,0.076,165.8,201.7,29723.5443
49,49,49,49,49,49,49,49,103,15.35,59.3,0.077,132.0,163.0,30871.89873
50,50,50,50,50,50,50,50,104,15.34,59.0,0.079,117.4,144.3,32700.75949
51,51,51,51,51,51,51,51,105,15.11,59.53,0.076,97.6,120.6,35793.41772
52,52,52,52,52,52,52,52,106,14.93,60.83,0.077,76.5,94.0,38321.01266
53,53,53,53,53,53,53,53,107,14.71,61.87,0.086,26.51,28.08,39129.11392
54,54,54,54,54,54,54,54,108,14.48,63.27,0.08,18.0,18.29,39560.50633
55,55,55,55,55,55,55,55,109,14.29,63.94,0.078,6.994,7.02,39517.97468
56,56,56,56,56,56,56,56,110,14.09,64.87,0.078,2.818,2.763,39596.96203
57,57,57,57,57,57,57,57,111,13.89,66.11,0.076,0.809,0.89,39469.36709
58,58,58,58,58,58,58,58,112,13.79,66.74,0.076,0.146,0.197,39682.02532
59,59,59,59,59,59,59,59,113,13.54,66.71,0.076,0.062,0.089,39888.60759
60,60,60,60,60,60,60,60,114,12.51,68.35,0.077,0.055,0.085,39991.89873
61,61,61,61,61,61,61,61,115,12.06,70.2,0.078,0.066,0.096,40210.63291
62,62,62,62,62,62,62,62,116,11.75,70.7,0.079,0.055,0.126,40216.70886
63,63,63,63,63,63,63,63,117,11.61,70.7,0.077,0.081,0.126,40435.44304
64,64,64,64,64,64,64,64,118,11.5,70.6,0.078,0.059,0.074,40514.43038
65,65,65,65,65,65,65,65,119,11.43,70.7,0.076,0.048,0.093,40544.81013
66,66,66,66,66,66,66,66,6,5.641,77.7,0.08,0.048,0.096,25998.98734
67,67,67,67,67,67,67,67,7,5.496,78.2,0.085,0.055,0.093,25446.07595
68,68,68,68,68,68,68,68,8,5.678,78.1,0.081,0.066,0.141,24777.72152
69,69,69,69,69,69,69,69,9,5.491,77.3,0.082,0.062,0.111,24279.49367
70,70,70,70,70,70,70,70,10,5.516,77.5,0.081,0.051,0.108,23896.70886
71,71,71,71,71,71,71,71,11,5.471,76.7,0.083,0.059,0.126,23544.3038
72,72,72,72,72,72,72,72,120,11.42,71.2,0.076,0.073,0.085,40283.5443
73,73,73,73,73,73,73,73,121,11.69,71.1,0.078,0.091,0.104,40216.70886
74,74,74,74,74,74,74,74,122,12.05,69.82,0.077,0.048,0.108,40477.97468
75,75,75,75,75,75,75,75,123,11.87,69.98,0.076,0.051,0.093,40611.64557
76,76,76,76,76,76,76,76,124,11.61,71.2,0.078,0.04,0.119,40435.44304
77,77,77,77,77,77,77,77,125,11.5,72.0,0.078,0.07,0.078,40204.55696
78,78,78,78,78,78,78,78,126,11.43,72.0,0.075,0.051,0.07,39584.81013
79,79,79,79,79,79,79,79,127,11.29,72.2,0.075,0.051,0.119,39274.93671
80,80,80,80,80,80,80,80,128,11.49,73.1,0.077,0.044,0.085,39141.26582
81,81,81,81,81,81,81,81,129,12.24,70.1,0.077,0.073,0.089,38643.03797
82,82,82,82,82,82,82,82,130,11.84,68.78,0.074,0.066,0.093,38011.13924
83,83,83,83,83,83,83,83,131,12.2,68.78,0.074,0.066,0.122,37622.27848
84,84,84,84,84,84,84,84,132,13.1,65.44,0.074,0.04,0.141,36953.92405
85,85,85,85,85,85,85,85,133,13.2,63.84,0.074,0.081,0.093,36394.93671
86,86,86,86,86,86,86,86,134,13.18,63.97,0.075,0.081,0.093,35289.11392
87,87,87,87,87,87,87,87,135,12.64,66.77,0.072,0.044,0.141,34438.48101
88,88,88,88,88,88,88,88,136,12.39,68.04,0.074,0.084,0.115,33678.98734
89,89,89,89,89,89,89,89,137,12.24,69.18,0.077,0.059,0.119,33077.46835
90,90,90,90,90,90,90,90,138,12.11,69.94,0.074,0.088,0.082,32117.46835
91,91,91,91,91,91,91,91,139,12.07,70.7,0.076,0.033,0.078,31357.97468
92,92,92,92,92,92,92,92,140,11.99,70.8,0.075,0.055,0.134,30701.77215
93,93,93,93,93,93,93,93,141,11.32,74.7,0.075,0.07,0.1,29681.01266
94,94,94,94,94,94,94,94,142,11.37,74.8,0.074,0.084,0.082,28830.37975
95,95,95,95,95,95,95,95,143,11.41,74.1,0.076,0.077,0.122,27748.86076
96,96,96,96,96,96,96,96,12,5.059,78.6,0.081,0.07,0.096,23003.5443
97,97,97,97,97,97,97,97,13,4.968,78.8,0.084,0.07,0.134,22329.11392
98,98,98,98,98,98,98,98,14,4.975,78.9,0.083,0.055,0.152,22092.1519
99,99,99,99,99,99,99,99,15,4.897,79.1,0.083,0.07,0.096,21903.79747
100,100,100,100,100,100,100,100,16,5.02,79.7,0.081,0.051,0.134,21685.06329
101,101,101,101,101,101,101,101,17,5.407,78.5,0.082,0.062,0.163,21484.55696
102,102,102,102,102,102,102,102,18,5.169,77.9,0.083,0.066,0.108,21107.8481
103,103,103,103,103,103,103,103,19,5.081,77.7,0.084,0.051,0.13,20998.48101
104,104,104,104,104,104,104,104,20,5.041,77.2,0.081,0.062,0.152,20870.88608
105,105,105,105,105,105,105,105,21,5.034,76.9,0.083,0.051,0.185,20870.88608
106,106,106,106,106,106,106,106,22,4.896,76.6,0.085,0.07,0.137,20597.46835
107,107,107,107,107,107,107,107,23,4.805,76.2,0.081,0.059,0.134,20421.26582
108,108,108,108,108,108,108,108,24,4.753,75.7,0.083,0.044,0.134,20524.55696
109,109,109,109,109,109,109,109,25,4.901,74.4,0.083,0.07,0.122,20482.02532
110,110,110,110,110,110,110,110,26,5.203,74.1,0.085,0.062,0.096,20530.63291
111,111,111,111,111,111,111,111,27,5.394,71.9,0.081,0.073,0.1,20512.40506
112,112,112,112,112,112,112,112,28,5.156,74.0,0.079,0.062,0.148,20494.17722
113,113,113,113,113,113,113,113,29,5.179,74.2,0.083,0.037,0.137,20311.89873
114,114,114,114,114,114,114,114,30,4.934,72.9,0.082,0.055,0.134,20542.78481
115,115,115,115,115,115,115,115,31,4.718,75.8,0.08,0.051,0.152,20621.77215
116,116,116,116,116,116,116,116,32,5.546,74.0,0.082,0.055,0.093,20627.8481
117,117,117,117,117,117,117,117,33,4.658,73.5,0.08,0.044,0.104,20797.97468
118,118,118,118,118,118,118,118,34,4.382,76.9,0.081,0.073,0.148,20858.73418
119,119,119,119,119,119,119,119,35,4.212,78.3,0.081,0.117,0.082,21393.41772
120,120,120,120,120,120,120,120,36,4.308,77.2,0.081,0.062,0.126,22219.74684
121,121,121,121,121,121,121,121,37,4.735,74.3,0.08,0.04,0.156,21928.10127
122,122,122,122,122,122,122,122,38,4.769,75.6,0.082,0.099,0.063,21776.20253
123,123,123,123,123,123,123,123,39,4.92,73.7,0.083,0.099,0.096,21654.68354
124,124,124,124,124,124,124,124,40,4.408,76.7,0.082,0.037,0.119,21466.32911
125,125,125,125,125,125,125,125,41,4.29,77.0,0.085,0.033,0.193,20846.58228
126,126,126,126,126,126,126,126,42,4.304,76.0,0.082,0.048,0.152,19983.79747
127,127,127,127,127,127,127,127,43,4.513,74.6,0.084,0.055,0.134,18908.35443
128,128,128,128,128,128,128,128,44,4.489,74.3,0.082,0.081,0.119,18167.08861
129,129,129,129,129,129,129,129,45,4.356,72.3,0.082,0.07,0.119,18075.94937
130,130,130,130,130,130,130,130,46,4.478,72.2,0.083,0.073,0.089,18063.79747
131,131,131,131,131,131,131,131,47,4.583,71.0,0.083,0.066,0.104,18045.56962
132,132,132,132,132,132,132,132,48,4.794,72.0,0.084,0.187,0.145,18385.82278
133,133,133,133,133,133,133,133,49,4.807,73.1,0.082,0.955,0.949,18987.34177
134,134,134,134,134,134,134,134,50,4.757,73.5,0.083,3.188,3.134,19576.70886
135,135,135,135,135,135,135,135,51,4.509,74.5,0.084,6.643,6.494,19837.97468
136,136,136,136,136,136,136,136,52,4.346,74.8,0.082,12.64,10.13,20166.07595
137,137,137,137,137,137,137,137,53,4.718,73.7,0.081,58.97,17.0,20676.4557
138,138,138,138,138,138,138,138,54,4.704,71.8,0.083,82.5,20.15,21296.20253
139,139,139,139,139,139,139,139,55,4.624,74.1,0.082,106.9,22.55,22043.5443
140,140,140,140,140,140,140,140,56,4.629,74.8,0.083,132.1,24.3,22651.13924
141,141,141,141,141,141,141,141,57,4.599,74.0,0.082,156.1,26.9,23131.13924
142,142,142,142,142,142,142,142,58,4.524,74.7,0.081,182.4,28.19,23641.51899
143,143,143,143,143,143,143,143,59,4.575,74.5,0.082,208.8,29.2,24668.35443
144,144,144,144,144,144,144,144,1296,14.61,76.9,0.076,0.066,0.104,28386.83544
145,145,145,145,145,145,145,145,1297,14.51,78.0,0.074,0.033,0.13,27712.40506
146,146,146,146,146,146,146,146,1298,14.49,78.9,0.077,0.066,0.145,27098.73418
147,147,147,147,147,147,147,147,1299,14.47,79.0,0.076,0.033,0.13,26424.3038
148,148,148,148,148,148,148,148,1300,14.48,78.6,0.077,0.04,0.115,25907.8481
149,149,149,149,149,149,149,149,1301,14.47,78.7,0.075,0.04,0.159,25318.48101
150,150,150,150,150,150,150,150,1356,14.45,74.0,0.077,233.0,69.06,31169.62025
151,151,151,151,151,151,151,151,1357,14.97,67.32,0.078,291.5,103.1,31825.82278
152,152,152,152,152,152,152,152,1358,15.41,66.39,0.08,337.4,126.8,32062.78481
153,153,153,153,153,153,153,153,1359,15.45,66.89,0.077,330.1,98.3,32700.75949
154,154,154,154,154,154,154,154,1360,15.41,67.76,0.077,314.4,72.8,33284.05063
155,155,155,155,155,155,155,155,1361,15.32,67.76,0.074,329.6,71.2,33399.49367
156,156,156,156,156,156,156,156,1362,15.43,67.69,0.077,356.5,73.3,33569.62025
157,157,157,157,157,157,157,157,1363,15.59,65.69,0.077,357.7,76.9,33849.11392
158,158,158,158,158,158,158,158,1364,15.46,65.52,0.076,300.7,96.8,34468.86076
159,159,159,159,159,159,159,159,1365,15.54,66.12,0.076,363.2,121.4,34827.34177
160,160,160,160,160,160,160,160,1366,15.68,65.52,0.076,413.9,108.0,34711.89873
161,161,161,161,161,161,161,161,1367,15.81,64.99,0.074,410.0,89.8,34474.93671
162,162,162,162,162,162,162,162,1368,15.73,65.62,0.073,420.7,114.5,34292.65823
163,163,163,163,163,163,163,163,1369,15.8,65.25,0.076,473.1,108.1,34760.50633
164,164,164,164,164,164,164,164,1370,15.84,63.89,0.076,450.4,123.2,35240.50633
165,165,165,165,165,165,165,165,1371,15.93,64.09,0.076,414.6,128.4,35337.72152
166,166,166,166,166,166,166,166,1372,16.01,63.68,0.074,488.5,110.5,35775.18987
167,167,167,167,167,167,167,167,1373,16.03,63.58,0.078,518.1,108.6,35538.22785
168,168,168,168,168,168,168,168,1374,16.09,63.45,0.074,475.0,138.3,35355.94937
169,169,169,169,169,169,169,169,1375,16.2,64.05,0.073,521.9,123.1,35106.83544
170,170,170,170,170,170,170,170,1376,16.24,63.68,0.077,496.8,95.8,35386.32911
171,171,171,171,171,171,171,171,1377,16.22,64.15,0.075,484.2,82.7,35374.17722
172,172,172,172,172,172,172,172,1378,16.39,63.55,0.079,484.9,86.7,35088.60759
173,173,173,173,173,173,173,173,1379,16.26,64.15,0.076,473.6,78.1,34930.63291
174,174,174,174,174,174,174,174,1380,16.28,64.05,0.076,461.8,78.6,34979.24051
175,175,175,175,175,175,175,175,1381,16.32,64.02,0.078,458.8,77.2,35131.13924
176,176,176,176,176,176,176,176,1382,16.58,63.15,0.076,449.7,84.0,34669.36709
177,177,177,177,177,177,177,177,1383,16.23,64.52,0.077,436.7,103.3,34335.18987
178,178,178,178,178,178,178,178,1384,16.27,64.22,0.076,418.6,136.9,34250.12658
179,179,179,179,179,179,179,179,1385,16.22,64.25,0.078,329.8,158.6,34195.44304
180,180,180,180,180,180,180,180,1386,16.05,64.29,0.075,160.1,132.6,34237.97468
181,181,181,181,181,181,181,181,1387,15.82,65.32,0.075,180.7,173.7,33940.25316
182,182,182,182,182,182,182,182,1388,15.83,65.45,0.076,188.5,190.2,33490.63291
183,183,183,183,183,183,183,183,1389,15.82,66.09,0.075,186.6,183.6,33636.4557
184,184,184,184,184,184,184,184,1390,15.81,68.32,0.073,370.4,390.6,33587.8481
185,185,185,185,185,185,185,185,1391,15.91,68.56,0.076,369.9,401.8,33314.43038
186,186,186,186,186,186,186,186,1392,16.03,68.36,0.077,332.3,365.6,33472.40506
187,187,187,187,187,187,187,187,1393,16.02,68.22,0.078,297.5,332.7,33654.68354
188,188,188,188,188,188,188,188,1394,16.04,67.79,0.077,145.3,159.4,34037.46835
189,189,189,189,189,189,189,189,1395,15.72,68.62,0.077,52.75,50.59,34128.60759
190,190,190,190,190,190,190,190,1396,15.63,69.53,0.075,158.5,192.4,34207.59494
191,191,191,191,191,191,191,191,1397,15.78,69.93,0.077,236.0,266.8,34061.77215
192,192,192,192,192,192,192,192,1398,15.69,69.33,0.078,167.2,195.1,34007.08861
193,193,193,193,193,193,193,193,1399,15.61,69.36,0.08,123.6,147.4,35131.13924
194,194,194,194,194,194,194,194,1400,15.51,69.63,0.077,99.7,120.1,36656.20253
195,195,195,195,195,195,195,195,1401,15.44,69.69,0.078,79.5,96.9,39147.34177
196,196,196,196,196,196,196,196,1402,15.33,70.2,0.075,59.64,73.7,42136.70886
197,197,197,197,197,197,197,197,1403,15.19,70.9,0.076,40.94,50.57,44056.70886
198,198,198,198,198,198,198,198,1404,15.06,71.4,0.079,16.86,17.78,44263.29114
199,199,199,199,199,199,199,199,1405,14.88,72.7,0.077,8.24,8.4,44524.55696
200,200,200,200,200,200,200,200,1406,14.69,73.2,0.076,4.337,4.476,44603.5443
201,201,201,201,201,201,201,201,1407,14.12,75.2,0.092,1.684,1.706,44627.8481
202,202,202,202,202,202,202,202,1408,13.62,76.7,0.077,0.362,0.419,44451.64557
203,203,203,203,203,203,203,203,1409,13.23,78.0,0.075,0.059,0.119,44056.70886
204,204,204,204,204,204,204,204,1410,12.89,79.0,0.08,0.077,0.104,44014.17722
205,205,205,205,205,205,205,205,1411,12.61,80.0,0.074,0.059,0.089,43740.75949
206,206,206,206,206,206,206,206,1412,12.25,81.1,0.076,0.073,0.104,43953.41772
207,207,207,207,207,207,207,207,1413,12.07,81.8,0.072,0.062,0.089,43807.59494
208,208,208,208,208,208,208,208,1414,11.95,82.3,0.076,0.084,0.082,43272.91139
209,209,209,209,209,209,209,209,1415,11.89,82.5,0.075,0.07,0.096,42859.74684
210,210,210,210,210,210,210,210,1302,14.42,79.0,0.077,0.062,0.122,25051.13924
211,211,211,211,211,211,211,211,1303,14.41,79.3,0.078,0.055,0.148,24637.97468
212,212,212,212,212,212,212,212,1304,14.43,79.5,0.082,0.033,0.178,24358.48101
213,213,213,213,213,213,213,213,1305,14.45,79.3,0.08,0.055,0.111,23908.86076
214,214,214,214,214,214,214,214,1306,14.51,79.2,0.082,0.037,0.137,23507.8481
215,215,215,215,215,215,215,215,1307,14.56,79.2,0.08,0.022,0.182,23222.27848
216,216,216,216,216,216,216,216,1416,11.83,82.8,0.073,0.051,0.096,42908.35443
217,217,217,217,217,217,217,217,1417,11.73,83.0,0.071,0.048,0.1,43370.12658
218,218,218,218,218,218,218,218,1418,11.84,83.2,0.069,0.037,0.111,43758.98734
219,219,219,219,219,219,219,219,1419,11.45,83.6,0.084,0.066,0.104,43376.20253
220,220,220,220,220,220,220,220,1420,11.14,83.6,0.087,0.051,0.111,43005.56962
221,221,221,221,221,221,221,221,1421,11.37,84.3,0.087,0.055,0.096,42683.5443
222,222,222,222,222,222,222,222,1422,11.31,84.1,0.083,0.062,0.108,41960.50633
223,223,223,223,223,223,223,223,1423,11.02,84.9,0.085,0.026,0.104,41741.77215
224,224,224,224,224,224,224,224,1424,10.85,85.2,0.084,0.073,0.119,41249.62025
225,225,225,225,225,225,225,225,1425,11.01,86.3,0.082,0.066,0.074,40976.20253
226,226,226,226,226,226,226,226,1426,10.99,86.1,0.082,0.062,0.078,40380.75949
227,227,227,227,227,227,227,227,1427,11.17,86.0,0.084,0.04,0.096,39809.62025
228,228,228,228,228,228,228,228,1428,11.35,85.9,0.081,0.04,0.152,38995.44304
229,229,229,229,229,229,229,229,1429,11.44,85.2,0.088,0.044,0.085,38448.60759
230,230,230,230,230,230,230,230,1430,11.13,84.6,0.084,0.026,0.145,37962.53165
231,231,231,231,231,231,231,231,1431,10.71,85.8,0.081,0.073,0.089,37124.05063
232,232,232,232,232,232,232,232,1432,10.63,86.0,0.085,0.037,0.134,36376.70886
233,233,233,233,233,233,233,233,1433,10.56,86.2,0.085,0.073,0.126,35732.65823
234,234,234,234,234,234,234,234,1434,10.41,86.2,0.086,0.077,0.126,34699.74684
235,235,235,235,235,235,235,235,1435,10.16,86.8,0.085,0.044,0.082,33800.50633
236,236,236,236,236,236,236,236,1436,10.41,87.0,0.083,0.055,0.074,32907.34177
237,237,237,237,237,237,237,237,1437,10.39,86.3,0.085,0.077,0.174,31935.18987
238,238,238,238,238,238,238,238,1438,10.13,86.5,0.083,0.073,0.108,30956.96203
239,239,239,239,239,239,239,239,1439,10.24,86.5,0.088,0.066,0.096,29772.1519
240,240,240,240,240,240,240,240,1308,14.59,78.9,0.08,0.048,0.152,22906.32911
241,241,241,241,241,241,241,241,1309,14.67,78.9,0.081,0.033,0.174,22681.51899
242,242,242,242,242,242,242,242,1310,14.67,78.9,0.082,0.026,0.145,22541.77215
243,243,243,243,243,243,243,243,1311,14.66,78.6,0.08,0.048,0.178,22572.1519
244,244,244,244,244,244,244,244,1312,14.64,78.6,0.08,0.048,0.156,22535.6962
245,245,245,245,245,245,245,245,1313,14.64,78.4,0.079,0.044,0.163,22468.86076
246,246,246,246,246,246,246,246,1314,14.62,78.1,0.076,0.04,0.152,22383.79747
247,247,247,247,247,247,247,247,1315,14.55,78.2,0.074,0.062,0.148,22250.12658
248,248,248,248,248,248,248,248,1316,14.53,78.1,0.074,0.059,0.163,22219.74684
249,249,249,249,249,249,249,249,1317,14.53,78.6,0.074,0.051,0.152,22165.06329
250,250,250,250,250,250,250,250,1318,14.5,79.2,0.076,0.081,0.148,21940.25316
251,251,251,251,251,251,251,251,1319,14.44,79.4,0.08,0.073,0.108,21782.27848
252,252,252,252,252,252,252,252,1320,14.4,79.1,0.08,0.048,0.156,21843.03797
253,253,253,253,253,253,253,253,1321,14.45,79.1,0.08,0.059,0.122,21770.12658
254,254,254,254,254,254,254,254,1322,14.39,78.9,0.078,0.04,0.126,21678.98734
255,255,255,255,255,255,255,255,1323,14.37,78.5,0.079,0.048,0.13,21527.08861
256,256,256,256,256,256,256,256,1324,14.33,78.1,0.075,0.015,0.197,21928.10127
257,257,257,257,257,257,257,257,1325,14.28,77.9,0.077,0.07,0.163,22049.62025
258,258,258,258,258,258,258,258,1326,14.31,78.0,0.075,0.048,0.208,21891.64557
259,259,259,259,259,259,259,259,1327,14.29,78.7,0.076,0.044,0.115,22007.08861
260,260,260,260,260,260,260,260,1328,14.2,78.8,0.08,0.026,0.122,22134.68354
261,261,261,261,261,261,261,261,1329,14.27,78.9,0.078,0.081,0.148,22444.55696
262,262,262,262,262,262,262,262,1330,14.34,78.9,0.078,0.04,0.152,22566.07595
263,263,263,263,263,263,263,263,1331,14.37,79.2,0.081,0.059,0.178,23526.07595
264,264,264,264,264,264,264,264,1332,14.33,79.4,0.081,0.04,0.115,24212.65823
265,265,265,265,265,265,265,265,1333,14.33,79.1,0.081,0.044,0.156,24382.78481
266,266,266,266,266,266,266,266,1334,14.25,78.9,0.082,0.062,0.148,24753.41772
267,267,267,267,267,267,267,267,1335,14.3,78.8,0.078,0.059,0.171,25306.32911
268,268,268,268,268,268,268,268,1336,14.37,78.6,0.08,0.081,0.152,25421.77215
269,269,269,269,269,269,269,269,1337,14.47,78.6,0.076,0.081,0.1,25111.89873
270,270,270,270,270,270,270,270,1338,14.46,78.8,0.079,0.055,0.204,25124.05063
271,271,271,271,271,271,271,271,1339,14.45,78.7,0.079,0.051,0.148,25032.91139
272,272,272,272,272,272,272,272,1340,14.44,78.7,0.081,0.081,0.111,24984.3038
273,273,273,273,273,273,273,273,1341,14.33,78.3,0.078,0.088,0.078,24777.72152
274,274,274,274,274,274,274,274,1342,14.3,77.7,0.081,0.055,0.134,24565.06329
275,275,275,275,275,275,275,275,1343,14.12,77.5,0.08,0.102,0.148,24182.27848
276,276,276,276,276,276,276,276,1344,12.93,77.5,0.08,0.124,0.185,24947.8481
277,277,277,277,277,277,277,277,1345,12.41,78.5,0.078,0.63,0.634,25689.11392
278,278,278,278,278,278,278,278,1346,12.13,78.6,0.081,2.167,2.325,26053.67089
279,279,279,279,279,279,279,279,1347,11.8,79.3,0.079,5.19,5.211,26284.55696
280,280,280,280,280,280,280,280,1348,11.72,80.0,0.074,11.91,11.62,26655.18987
281,281,281,281,281,281,281,281,1349,11.74,80.2,0.074,17.44,16.87,27080.50633
282,282,282,282,282,282,282,282,1350,11.54,80.1,0.074,25.28,24.26,27997.97468
283,283,283,283,283,283,283,283,1351,11.46,80.9,0.079,28.94,27.78,28666.32911
284,284,284,284,284,284,284,284,1352,11.64,80.8,0.082,38.24,34.34,28951.89873
285,285,285,285,285,285,285,285,1353,11.93,80.2,0.074,134.1,64.64,29462.27848
286,286,286,286,286,286,286,286,1354,12.38,79.0,0.081,164.5,57.69,29984.81013
287,287,287,287,287,287,287,287,1355,13.22,77.3,0.079,191.1,54.9,30227.8481
288,288,288,288,288,288,288,288,1440,10.25,85.9,0.086,0.073,0.122,29115.94937
289,289,289,289,289,289,289,289,1441,10.15,85.5,0.085,0.066,0.108,28593.41772
290,290,290,290,290,290,290,290,1442,10.05,85.5,0.087,0.033,0.159,27955.44304
291,291,291,291,291,291,291,291,1443,10.15,85.3,0.086,0.084,0.134,27457.21519
292,292,292,292,292,292,292,292,1444,10.19,84.7,0.089,0.055,0.141,26904.3038
293,293,293,293,293,293,293,293,1445,9.98,84.6,0.089,0.055,0.134,26126.58228
294,294,294,294,294,294,294,294,1500,10.42,64.57,0.085,218.6,56.99,29176.70886
295,295,295,295,295,295,295,295,1501,10.74,65.9,0.085,238.8,54.17,29529.11392
296,296,296,296,296,296,296,296,1502,10.74,66.77,0.085,253.7,52.79,30209.62025
297,297,297,297,297,297,297,297,1503,10.9,65.4,0.082,257.4,54.77,30950.88608
298,298,298,298,298,298,298,298,1504,11.43,64.14,0.088,288.0,60.4,31509.87342
299,299,299,299,299,299,299,299,1505,12.05,63.34,0.086,202.4,76.8,31898.73418
300,300,300,300,300,300,300,300,1506,12.76,60.4,0.081,297.2,81.6,32621.77215
301,301,301,301,301,301,301,301,1507,12.95,58.86,0.085,337.3,78.9,33089.62025
302,302,302,302,302,302,302,302,1508,13.49,57.29,0.086,343.5,84.8,33162.53165
303,303,303,303,303,303,303,303,1509,13.88,57.36,0.085,384.9,82.8,33290.12658
304,304,304,304,304,304,304,304,1510,14.37,56.62,0.083,426.2,78.8,33502.78481
305,305,305,305,305,305,305,305,1511,14.9,53.92,0.083,430.2,71.4,33697.21519
306,306,306,306,306,306,306,306,1512,15.99,54.12,0.081,438.8,73.3,33861.26582
307,307,307,307,307,307,307,307,1513,16.75,53.26,0.084,446.8,77.8,33934.17722
