,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
84,84,84,84,84,2.57,0.104,242.8,10.6,0.0,0.0,0.0
85,85,85,85,85,2.57,0.104,242.82,10.6,0.0,0.0,0.0
86,86,86,86,86,2.566,0.104,242.73,10.6,0.0,0.0,0.0
87,87,87,87,87,2.504,0.0,241.47,10.2,0.0,0.0,0.0
88,88,88,88,88,2.474,0.0,241.52,10.2,0.0,0.0,0.0
89,89,89,89,89,2.456,0.0,240.56,10.2,0.0,0.0,0.0
90,90,90,90,90,2.448,0.0,240.11,10.2,0.0,0.0,0.0
91,91,91,91,91,2.446,0.0,240.03,10.2,0.0,0.0,0.0
92,92,92,92,92,2.452,0.0,240.3,10.2,0.0,0.0,0.0
93,93,93,93,93,2.452,0.0,240.37,10.2,0.0,0.0,0.0
94,94,94,94,94,2.452,0.0,240.34,10.2,0.0,0.0,0.0
95,95,95,95,95,2.444,0.0,239.95,10.2,0.0,0.0,0.0
96,96,96,96,96,2.444,0.0,239.91,10.2,0.0,0.0,0.0
97,97,97,97,97,2.462,0.0,240.89,10.2,0.0,0.0,0.0
98,98,98,98,98,2.51,0.052,240.01,10.4,0.0,0.0,0.0
99,99,99,99,99,2.546,0.12,239.63,10.6,0.0,0.0,0.0
100,100,100,100,100,2.548,0.122,240.0,10.6,0.0,0.0,0.0
101,101,101,101,101,2.548,0.122,240.04,10.6,0.0,0.0,0.0
102,102,102,102,102,2.552,0.122,240.36,10.6,0.0,0.0,0.0
103,103,103,103,103,2.544,0.12,239.96,10.6,0.0,0.0,0.0
104,104,104,104,104,2.538,0.12,239.83,10.6,0.0,0.0,0.0
105,105,105,105,105,2.548,0.122,240.42,10.6,0.0,0.0,0.0
106,106,106,106,106,2.554,0.124,240.71,10.6,0.0,0.0,0.0
107,107,107,107,107,2.552,0.124,240.74,10.6,0.0,0.0,0.0
108,108,108,108,108,2.55,0.124,240.66,10.6,0.0,0.0,0.0
109,109,109,109,109,2.548,0.124,240.6,10.6,0.0,0.0,0.0
110,110,110,110,110,2.552,0.124,240.8,10.6,0.0,0.0,0.0
111,111,111,111,111,2.548,0.122,240.56,10.6,0.0,0.0,0.0
112,112,112,112,112,2.502,0.048,240.89,10.4,0.0,0.0,0.0
113,113,113,113,113,2.466,0.0,241.03,10.2,0.0,0.0,0.0
114,114,114,114,114,2.48,0.0,241.77,10.2,0.0,0.0,0.0
115,115,115,115,115,2.474,0.0,241.46,10.2,0.0,0.0,0.0
116,116,116,116,116,2.47,0.0,241.28,10.2,0.0,0.0,0.0
117,117,117,117,117,2.464,0.0,240.93,10.2,0.0,0.0,0.0
118,118,118,118,118,2.45,0.0,240.24,10.2,0.0,0.0,0.0
119,119,119,119,119,2.496,0.0,239.61,10.4,0.0,0.0,0.0
120,120,120,120,120,2.504,0.088,239.26,10.4,0.0,0.0,0.0
121,121,121,121,121,2.54,0.096,241.07,10.4,0.0,0.0,0.0
122,122,122,122,122,2.568,0.102,242.48,10.6,0.0,0.0,0.0
123,123,123,123,123,2.566,0.102,242.42,10.6,0.0,0.0,0.0
124,124,124,124,124,2.574,0.106,242.95,10.6,0.0,0.0,0.0
125,125,125,125,125,2.582,0.108,243.38,10.6,0.0,0.0,0.0
126,126,126,126,126,2.576,0.106,243.17,10.6,0.0,0.0,0.0
127,127,127,127,127,2.556,0.082,242.89,10.4,0.0,0.0,0.0
128,128,128,128,128,2.502,0.0,242.94,10.2,0.0,0.0,0.0
129,129,129,129,129,2.514,0.0,243.57,10.2,0.0,0.0,0.0
130,130,130,130,130,2.508,0.0,243.28,10.2,0.0,0.0,0.0
131,131,131,131,131,2.52,0.0,243.91,10.2,0.0,0.0,0.0
132,132,132,132,132,2.518,0.0,243.76,10.2,0.0,0.0,0.0
133,133,133,133,133,2.518,0.0,243.81,10.2,0.0,0.0,0.0
134,134,134,134,134,2.514,0.0,243.57,10.2,0.0,0.0,0.0
135,135,135,135,135,2.54,0.0,243.32,10.4,0.0,0.0,0.0
136,136,136,136,136,2.608,0.134,242.76,10.6,0.0,0.0,0.0
137,137,137,137,137,2.622,0.14,243.66,10.6,0.0,0.0,0.0
138,138,138,138,138,2.618,0.138,243.64,10.6,0.0,0.0,0.0
139,139,139,139,139,2.618,0.138,243.72,10.6,0.0,0.0,0.0
140,140,140,140,140,2.624,0.142,244.15,10.6,0.0,0.0,0.0
141,141,141,141,141,2.632,0.144,244.6,10.6,0.0,0.0,0.0
142,142,142,142,142,2.63,0.144,244.5,10.6,0.0,0.0,0.0
143,143,143,143,143,2.622,0.142,244.22,10.6,0.0,0.0,0.0
144,144,144,144,144,2.614,0.14,243.88,10.6,0.0,0.0,0.0
145,145,145,145,145,2.596,0.136,242.97,10.6,0.0,0.0,0.0
146,146,146,146,146,2.598,0.136,243.07,10.6,0.0,0.0,0.0
147,147,147,147,147,2.584,0.132,242.45,10.6,0.0,0.0,0.0
148,148,148,148,148,2.592,0.134,242.84,10.6,0.0,0.0,0.0
149,149,149,149,149,2.568,0.086,243.33,10.4,0.0,0.0,0.0
150,150,150,150,150,2.514,0.0,243.63,10.2,0.0,0.0,0.0
151,151,151,151,151,2.518,0.0,243.79,10.2,0.0,0.0,0.0
152,152,152,152,152,2.518,0.0,243.81,10.2,0.0,0.0,0.0
153,153,153,153,153,2.522,0.0,244.0,10.2,0.0,0.0,0.0
154,154,154,154,154,2.532,0.0,244.5,10.2,0.0,0.0,0.0
155,155,155,155,155,2.542,0.0,244.99,10.2,0.0,0.0,0.0
156,156,156,156,156,2.532,0.0,244.47,10.2,0.0,0.0,0.0
157,157,157,157,157,2.504,0.0,242.98,10.2,0.0,0.0,0.0
158,158,158,158,158,2.498,0.0,242.78,10.2,0.0,0.0,0.0
159,159,159,159,159,2.5,0.0,242.86,10.2,0.0,0.0,0.0
160,160,160,160,160,2.57,0.084,242.49,10.6,0.0,0.0,0.0
161,161,161,161,161,2.568,0.104,242.6,10.6,0.0,0.0,0.0
162,162,162,162,162,2.576,0.104,242.96,10.6,0.0,0.0,0.0
163,163,163,163,163,2.574,0.104,242.85,10.6,0.0,0.0,0.0
164,164,164,164,164,2.614,0.15,242.46,10.8,0.0,0.0,0.0
165,165,165,165,165,2.654,0.23,242.87,10.8,0.0,1.0,0.0
166,166,166,166,166,2.67,0.234,243.73,11.0,0.0,1.0,0.0
167,167,167,167,167,2.666,0.236,243.71,11.0,0.0,2.0,0.0
168,168,168,168,168,2.624,0.18,243.2,10.8,0.0,1.0,0.0
169,169,169,169,169,2.58,0.122,242.69,10.6,0.0,2.0,0.0
170,170,170,170,170,2.586,0.124,243.02,10.6,0.0,1.0,0.0
171,171,171,171,171,2.592,0.126,243.29,10.6,0.0,1.0,0.0
172,172,172,172,172,2.588,0.124,243.1,10.6,0.0,2.0,0.0
173,173,173,173,173,2.692,0.242,243.15,11.0,0.0,1.0,0.0
174,174,174,174,174,2.696,0.264,243.15,11.0,0.0,2.0,0.0
175,175,175,175,175,2.69,0.262,243.11,11.0,0.0,1.0,0.0
176,176,176,176,176,2.694,0.264,243.46,11.0,0.0,1.0,0.0
177,177,177,177,177,2.68,0.26,242.82,11.0,0.0,2.0,0.0
178,178,178,178,178,2.666,0.256,242.23,11.0,0.0,1.0,0.0
179,179,179,179,179,2.654,0.254,241.74,11.0,0.0,1.0,0.0
180,180,180,180,180,2.648,0.254,241.63,11.0,0.0,2.0,0.0
181,181,181,181,181,2.666,0.26,242.65,11.0,0.0,1.0,0.0
182,182,182,182,182,2.672,0.262,242.96,11.0,0.0,1.0,0.0
183,183,183,183,183,2.67,0.262,242.97,11.0,0.0,1.0,0.0
184,184,184,184,184,2.672,0.262,243.18,11.0,0.0,2.0,0.0
185,185,185,185,185,2.666,0.262,242.91,11.0,0.0,1.0,0.0
186,186,186,186,186,2.662,0.246,243.29,11.0,0.0,1.0,0.0
187,187,187,187,187,2.58,0.126,243.28,10.6,0.0,1.0,0.0
188,188,188,188,188,2.57,0.122,242.8,10.6,0.0,2.0,0.0
189,189,189,189,189,2.57,0.122,242.81,10.6,0.0,1.0,0.0
190,190,190,190,190,2.568,0.122,242.72,10.6,0.0,1.0,0.0
191,191,191,191,191,2.58,0.126,243.34,10.6,0.0,1.0,0.0
192,192,192,192,192,2.558,0.07,243.87,10.4,0.0,1.0,0.0
193,193,193,193,193,2.522,0.0,244.02,10.2,0.0,0.0,0.0
194,194,194,194,194,2.52,0.0,243.85,10.2,0.0,0.0,0.0
195,195,195,195,195,2.506,0.0,243.2,10.2,0.0,0.0,0.0
196,196,196,196,196,2.532,0.0,242.76,10.4,0.0,0.0,0.0
197,197,197,197,197,2.55,0.0,242.82,10.4,0.0,0.0,0.0
198,198,198,198,198,2.54,0.0,243.04,10.4,0.0,0.0,0.0
199,199,199,199,199,2.764,0.0,242.39,11.4,0.0,0.0,0.0
200,200,200,200,200,2.7,0.0,243.0,11.0,0.0,0.0,0.0
201,201,201,201,201,2.8,0.114,243.66,11.4,0.0,0.0,0.0
202,202,202,202,202,2.54,0.118,244.16,10.4,0.0,0.0,0.0
203,203,203,203,203,2.548,0.12,244.56,10.4,0.0,0.0,0.0
204,204,204,204,204,2.554,0.122,244.86,10.4,0.0,0.0,0.0
205,205,205,205,205,2.558,0.122,245.07,10.4,0.0,0.0,0.0
206,206,206,206,206,2.542,0.12,244.39,10.4,0.0,0.0,0.0
207,207,207,207,207,2.536,0.118,244.06,10.4,0.0,0.0,0.0
208,208,208,208,208,2.534,0.118,244.01,10.4,0.0,0.0,0.0
209,209,209,209,209,2.468,0.0,243.43,10.0,0.0,0.0,0.0
210,210,210,210,210,2.522,0.088,243.08,10.4,0.0,0.0,0.0
211,211,211,211,211,2.556,0.144,243.12,10.4,0.0,0.0,0.0
212,212,212,212,212,2.536,0.14,242.36,10.4,0.0,0.0,0.0
213,213,213,213,213,2.532,0.14,242.17,10.4,0.0,0.0,0.0
214,214,214,214,214,2.536,0.142,242.55,10.4,0.0,0.0,0.0
215,215,215,215,215,2.534,0.142,242.57,10.4,0.0,0.0,0.0
216,216,216,216,216,2.538,0.144,242.78,10.4,0.0,0.0,0.0
217,217,217,217,217,2.538,0.144,242.89,10.4,0.0,0.0,0.0
218,218,218,218,218,2.54,0.144,243.0,10.4,0.0,0.0,0.0
219,219,219,219,219,2.54,0.144,243.07,10.4,0.0,0.0,0.0
220,220,220,220,220,2.546,0.146,243.43,10.4,0.0,0.0,0.0
221,221,221,221,221,2.55,0.148,243.66,10.4,0.0,0.0,0.0
222,222,222,222,222,2.542,0.146,243.25,10.4,0.0,0.0,0.0
223,223,223,223,223,2.544,0.146,243.39,10.4,0.0,0.0,0.0
224,224,224,224,224,2.466,0.0,243.8,10.0,0.0,0.0,0.0
225,225,225,225,225,2.45,0.0,243.29,10.0,0.0,0.0,0.0
226,226,226,226,226,2.446,0.0,243.18,10.0,0.0,0.0,0.0
227,227,227,227,227,2.456,0.0,243.63,10.0,0.0,0.0,0.0
228,228,228,228,228,2.46,0.0,243.77,10.0,0.0,0.0,0.0
229,229,229,229,229,2.448,0.0,243.18,10.0,0.0,0.0,0.0
230,230,230,230,230,2.458,0.0,243.66,10.0,0.0,0.0,0.0
231,231,231,231,231,2.456,0.0,243.61,10.0,0.0,0.0,0.0
232,232,232,232,232,2.452,0.0,243.44,10.0,0.0,0.0,0.0
233,233,233,233,233,2.448,0.0,243.18,10.0,0.0,0.0,0.0
234,234,234,234,234,2.45,0.0,243.18,10.0,0.0,0.0,0.0
235,235,235,235,235,2.45,0.0,243.21,10.0,0.0,0.0,0.0
236,236,236,236,236,2.456,0.0,243.49,10.0,0.0,0.0,0.0
237,237,237,237,237,2.43,0.0,243.19,10.0,0.0,0.0,0.0
238,238,238,238,238,2.42,0.0,242.99,9.8,0.0,0.0,0.0
239,239,239,239,239,2.404,0.0,242.13,9.8,0.0,0.0,0.0
240,240,240,240,240,2.4,0.0,241.96,9.8,0.0,0.0,0.0
241,241,241,241,241,2.416,0.0,241.47,10.0,0.0,0.0,0.0
242,242,242,242,242,2.476,0.102,241.91,10.2,0.0,0.0,0.0
243,243,243,243,243,2.474,0.102,241.91,10.2,0.0,0.0,0.0
244,244,244,244,244,2.482,0.104,242.2,10.2,0.0,0.0,0.0
245,245,245,245,245,2.484,0.104,242.38,10.2,0.0,0.0,0.0
246,246,246,246,246,2.474,0.102,241.96,10.2,0.0,0.0,0.0
247,247,247,247,247,2.474,0.102,242.0,10.2,0.0,0.0,0.0
248,248,248,248,248,2.58,0.232,241.31,10.6,0.0,0.0,0.0
249,249,249,249,249,2.574,0.224,242.23,10.6,0.0,0.0,0.0
250,250,250,250,250,2.518,0.136,242.68,10.4,0.0,0.0,0.0
251,251,251,251,251,2.522,0.138,242.99,10.4,0.0,0.0,0.0
252,252,252,252,252,2.498,0.132,241.8,10.2,0.0,0.0,0.0
253,253,253,253,253,2.496,0.132,241.82,10.2,0.0,0.0,0.0
254,254,254,254,254,2.496,0.132,241.89,10.2,0.0,0.0,0.0
255,255,255,255,255,2.486,0.13,241.44,10.2,0.0,0.0,0.0
256,256,256,256,256,2.488,0.13,241.57,10.2,0.0,0.0,0.0
257,257,257,257,257,2.48,0.128,241.15,10.2,0.0,0.0,0.0
258,258,258,258,258,2.488,0.132,241.67,10.2,0.0,0.0,0.0
259,259,259,259,259,2.49,0.132,241.78,10.2,0.0,0.0,0.0
260,260,260,260,260,2.484,0.13,241.53,10.2,0.0,0.0,0.0
261,261,261,261,261,2.464,0.104,241.34,10.2,0.0,0.0,0.0
262,262,262,262,262,2.398,0.0,241.79,9.8,0.0,0.0,0.0
263,263,263,263,263,2.392,0.0,241.48,9.8,0.0,0.0,0.0
264,264,264,264,264,2.406,0.0,242.25,9.8,0.0,0.0,0.0
265,265,265,265,265,2.398,0.0,241.76,9.8,0.0,0.0,0.0
266,266,266,266,266,2.398,0.0,241.83,9.8,0.0,0.0,0.0
267,267,267,267,267,2.398,0.0,240.61,9.8,0.0,0.0,0.0
268,268,268,268,268,2.402,0.0,240.97,9.8,0.0,0.0,0.0
269,269,269,269,269,2.406,0.0,242.0,9.8,0.0,0.0,0.0
270,270,270,270,270,2.412,0.0,242.56,9.8,0.0,0.0,0.0
271,271,271,271,271,2.42,0.0,243.02,9.8,0.0,0.0,0.0
272,272,272,272,272,2.418,0.0,242.87,9.8,0.0,0.0,0.0
273,273,273,273,273,2.422,0.0,243.13,9.8,0.0,0.0,0.0
274,274,274,274,274,2.418,0.0,242.87,9.8,0.0,0.0,0.0
275,275,275,275,275,2.416,0.0,242.76,9.8,0.0,0.0,0.0
276,276,276,276,276,2.42,0.0,243.04,9.8,0.0,0.0,0.0
277,277,277,277,277,2.424,0.0,243.24,9.8,0.0,0.0,0.0
278,278,278,278,278,2.43,0.0,243.5,9.8,0.0,0.0,0.0
279,279,279,279,279,2.434,0.0,243.81,10.0,0.0,0.0,0.0
280,280,280,280,280,2.436,0.0,243.83,10.0,0.0,0.0,0.0
281,281,281,281,281,2.43,0.0,243.59,9.8,0.0,0.0,0.0
282,282,282,282,282,2.468,0.0,243.21,10.0,0.0,0.0,0.0
283,283,283,283,283,2.516,0.112,244.19,10.2,0.0,0.0,0.0
284,284,284,284,284,2.508,0.11,243.81,10.2,0.0,0.0,0.0
285,285,285,285,285,2.548,0.158,243.09,10.4,0.0,0.0,0.0
286,286,286,286,286,2.6,0.244,242.9,10.6,0.0,0.0,0.0
287,287,287,287,287,2.592,0.242,242.73,10.6,0.0,0.0,0.0
288,288,288,288,288,2.598,0.246,243.21,10.6,0.0,0.0,0.0
289,289,289,289,289,2.58,0.24,242.48,10.6,0.0,0.0,0.0
290,290,290,290,290,2.55,0.204,242.25,10.4,0.0,0.0,0.0
291,291,291,291,291,2.508,0.136,242.51,10.2,0.0,0.0,0.0
292,292,292,292,292,2.516,0.138,242.99,10.2,0.0,0.0,0.0
293,293,293,293,293,2.512,0.138,242.83,10.2,0.0,0.0,0.0
294,294,294,294,294,2.508,0.136,242.71,10.2,0.0,0.0,0.0
295,295,295,295,295,2.508,0.138,242.72,10.2,0.0,0.0,0.0
296,296,296,296,296,2.51,0.138,242.89,10.2,0.0,0.0,0.0
297,297,297,297,297,2.516,0.14,243.2,10.2,0.0,0.0,0.0
298,298,298,298,298,2.524,0.142,243.69,10.2,0.0,0.0,0.0
299,299,299,299,299,2.46,0.0,244.06,10.0,0.0,0.0,0.0
300,300,300,300,300,2.436,0.0,243.85,10.0,0.0,0.0,0.0
301,301,301,301,301,2.434,0.0,243.71,10.0,0.0,0.0,0.0
302,302,302,302,302,2.432,0.0,243.68,10.0,0.0,0.0,0.0
303,303,303,303,303,2.442,0.0,244.13,10.0,0.0,0.0,0.0
304,304,304,304,304,2.442,0.0,244.16,10.0,0.0,0.0,0.0
305,305,305,305,305,2.418,0.0,242.9,9.8,0.0,0.0,0.0
306,306,306,306,306,2.428,0.0,243.39,9.8,0.0,0.0,0.0
307,307,307,307,307,2.42,0.0,243.03,9.8,0.0,0.0,0.0
308,308,308,308,308,2.426,0.0,243.27,9.8,0.0,0.0,0.0
309,309,309,309,309,2.488,0.074,243.39,10.2,0.0,0.0,0.0
310,310,310,310,310,2.508,0.128,243.37,10.2,0.0,1.0,0.0
311,311,311,311,311,2.52,0.132,244.06,10.2,0.0,1.0,0.0
312,312,312,312,312,2.524,0.132,244.26,10.2,0.0,2.0,0.0
313,313,313,313,313,2.524,0.132,244.17,10.2,0.0,1.0,0.0
314,314,314,314,314,2.524,0.132,244.12,10.2,0.0,1.0,0.0
315,315,315,315,315,2.506,0.126,243.18,10.2,0.0,2.0,0.0
316,316,316,316,316,2.496,0.124,242.67,10.2,0.0,1.0,0.0
317,317,317,317,317,2.482,0.12,241.97,10.2,0.0,2.0,0.0
318,318,318,318,318,2.484,0.12,242.02,10.2,0.0,1.0,0.0
319,319,319,319,319,2.48,0.12,241.85,10.2,0.0,1.0,0.0
320,320,320,320,320,2.496,0.124,242.81,10.2,0.0,2.0,0.0
321,321,321,321,321,2.488,0.122,242.38,10.2,0.0,1.0,0.0
322,322,322,322,322,2.484,0.12,242.17,10.2,0.0,2.0,0.0
323,323,323,323,323,2.616,0.256,242.06,10.8,0.0,1.0,0.0
324,324,324,324,324,2.652,0.358,241.6,11.0,0.0,1.0,0.0
325,325,325,325,325,2.646,0.358,241.57,11.0,0.0,1.0,0.0
326,326,326,326,326,2.646,0.358,241.64,11.0,0.0,2.0,0.0
327,327,327,327,327,2.652,0.362,242.02,11.0,0.0,1.0,0.0
328,328,328,328,328,2.654,0.364,242.37,11.0,0.0,1.0,0.0
329,329,329,329,329,2.65,0.364,242.4,11.0,0.0,2.0,0.0
330,330,330,330,330,2.644,0.364,242.28,11.0,0.0,1.0,0.0
331,331,331,331,331,2.646,0.36,242.68,11.0,0.0,1.0,0.0
332,332,332,332,332,2.572,0.258,242.32,10.6,0.0,1.0,0.0
333,333,333,333,333,2.584,0.264,242.96,10.6,0.0,1.0,0.0
334,334,334,334,334,2.58,0.262,242.86,10.6,0.0,2.0,0.0
335,335,335,335,335,2.564,0.256,241.98,10.6,0.0,1.0,0.0
336,336,336,336,336,2.526,0.21,241.66,10.4,0.0,1.0,0.0
337,337,337,337,337,2.398,0.0,241.38,9.8,0.0,0.0,0.0
338,338,338,338,338,2.376,0.0,240.61,9.8,0.0,0.0,0.0
339,339,339,339,339,2.38,0.0,240.82,9.8,0.0,0.0,0.0
340,340,340,340,340,2.39,0.0,241.41,9.8,0.0,0.0,0.0
341,341,341,341,341,2.392,0.0,241.51,9.8,0.0,0.0,0.0
342,342,342,342,342,2.396,0.0,241.73,9.8,0.0,0.0,0.0
343,343,343,343,343,2.416,0.0,242.75,9.8,0.0,0.0,0.0
344,344,344,344,344,2.408,0.0,242.3,9.8,0.0,0.0,0.0
345,345,345,345,345,2.4,0.0,241.91,9.8,0.0,0.0,0.0
346,346,346,346,346,2.398,0.0,241.82,9.8,0.0,0.0,0.0
347,347,347,347,347,2.396,0.0,241.7,9.8,0.0,0.0,0.0
348,348,348,348,348,2.4,0.0,241.88,9.8,0.0,0.0,0.0
349,349,349,349,349,2.422,0.0,243.07,9.8,0.0,0.0,0.0
350,350,350,350,350,2.422,0.0,243.11,9.8,0.0,0.0,0.0
351,351,351,351,351,2.416,0.0,242.78,9.8,0.0,0.0,0.0
352,352,352,352,352,2.4,0.0,241.9,9.8,0.0,0.0,0.0
353,353,353,353,353,2.392,0.0,241.47,9.8,0.0,0.0,0.0
354,354,354,354,354,2.38,0.0,240.89,9.8,0.0,0.0,0.0
355,355,355,355,355,2.372,0.0,240.41,9.8,0.0,0.0,0.0
356,356,356,356,356,2.372,0.0,240.41,9.8,0.0,0.0,0.0
357,357,357,357,357,2.364,0.0,239.97,9.8,0.0,0.0,0.0
358,358,358,358,358,2.38,0.0,240.84,9.8,0.0,0.0,0.0
359,359,359,359,359,2.39,0.0,241.31,9.8,0.0,0.0,0.0
360,360,360,360,360,2.46,0.064,241.13,10.2,0.0,0.0,0.0
361,361,361,361,361,2.502,0.13,241.26,10.4,0.0,0.0,0.0
362,362,362,362,362,2.496,0.128,241.14,10.2,0.0,0.0,0.0
