,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,0,1,1,7.38,9.09,43,12.998,1,87,88
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,1,1,8.2,9.09,40,19.9995,3,192,195
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,1,9.02,9.85,37,22.0028,6,109,115
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0,1,1,9.02,9.85,37,22.0028,4,53,57
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,0,1,1,10.66,11.365,33,22.0028,12,34,46
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,0,1,1,10.66,11.365,33,22.0028,5,74,79
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,0,1,1,11.48,12.88,30,19.9995,6,65,71
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,1,1,12.3,14.395,28,12.998,10,52,62
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,0,1,1,12.3,14.395,28,12.998,7,55,62
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,0,1,1,12.3,15.91,28,6.0032,4,85,89
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,0,1,1,9.84,11.365,38,12.998,4,186,190
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,0,1,1,9.84,12.12,38,8.9981,3,166,169
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,1,1,9.84,12.88,38,7.0015,5,127,132
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0,1,1,9.02,11.365,47,11.0014,7,82,89
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,0,1,1,8.2,9.85,51,12.998,3,40,43
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,0,1,1,7.38,9.85,55,8.9981,1,41,42
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,0,1,1,8.2,12.88,47,0.0,1,18,19
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,0,1,1,7.38,12.12,55,0.0,0,11,11
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,0,1,1,6.56,11.365,64,0.0,0,4,4
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,0,1,1,6.56,11.365,64,0.0,0,2,2
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,0,1,2,6.56,9.85,64,6.0032,0,1,1
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,0,1,2,5.74,9.09,69,6.0032,0,4,4
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,0,1,2,5.74,8.335,63,7.0015,0,36,36
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,0,1,2,6.56,11.365,59,0.0,0,95,95
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,0,1,1,6.56,11.365,59,0.0,3,216,219
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,0,1,2,7.38,12.12,51,0.0,6,116,122
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,1,1,8.2,12.88,47,0.0,3,42,45
125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0,1,1,9.02,12.88,44,6.0032,2,57,59
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,0,1,1,10.66,14.395,35,0.0,6,78,84
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,0,1,1,10.66,13.635,35,7.0015,12,55,67
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,0,1,1,11.48,13.635,36,11.0014,11,59,70
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,0,1,1,11.48,13.635,36,0.0,8,54,62
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,0,1,1,10.66,12.88,38,11.0014,12,74,86
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,0,1,1,9.02,11.365,51,11.0014,9,163,172
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,0,1,1,9.02,11.365,51,8.9981,5,158,163
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,0,1,1,9.02,12.88,55,6.0032,3,109,112
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,0,1,1,8.2,10.605,51,11.0014,3,66,69
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,0,1,2,9.02,10.605,55,15.0013,0,48,48
136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,0,1,2,9.02,10.605,51,19.0012,1,51,52
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,0,1,2,8.2,9.85,59,12.998,4,19,23
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,0,1,2,8.2,9.85,64,12.998,4,13,17
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,0,1,2,8.2,9.85,69,15.0013,2,5,7
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,0,1,2,8.2,9.85,69,15.0013,0,1,1
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,0,1,2,8.2,10.605,69,8.9981,0,1,1
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,0,1,3,9.02,13.635,55,0.0,0,5,5
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,0,1,2,8.2,12.88,69,0.0,8,26,34
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,0,1,1,8.2,10.605,69,8.9981,8,76,84
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,0,1,1,8.2,9.85,51,16.9979,20,190,210
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,0,1,1,8.2,9.09,47,19.9995,9,125,134
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,0,1,1,9.02,9.85,37,22.0028,16,47,63
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,0,1,2,8.2,9.85,40,15.0013,19,48,67
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,0,1,2,8.2,9.85,37,16.9979,9,50,59
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,1,2,8.2,9.09,37,19.0012,9,64,73
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,0,1,2,8.2,9.85,40,16.9979,7,43,50
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,0,1,2,8.2,10.605,37,11.0014,9,63,72
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,0,1,2,8.2,10.605,37,11.0014,5,82,87
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,0,1,2,8.2,12.88,37,0.0,9,178,187
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,1,1,8.2,11.365,40,6.0032,7,116,123
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,0,1,1,6.56,9.85,55,6.0032,3,92,95
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,0,1,1,7.38,10.605,47,7.0015,1,50,51
158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,0,1,1,7.38,9.85,47,8.9981,0,39,39
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,0,1,2,7.38,9.85,43,11.0014,2,34,36
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,2,7.38,9.85,51,11.0014,1,14,15
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,0,0,2,7.38,9.85,51,11.0014,1,24,25
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,0,0,2,7.38,10.605,55,6.0032,1,15,16
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,0,0,2,7.38,12.12,55,0.0,3,13,16
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,0,0,3,7.38,9.85,55,11.0014,0,7,7
165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,0,0,3,7.38,9.85,55,11.0014,0,1,1
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,0,0,2,6.56,8.335,74,11.0014,0,5,5
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,0,0,2,6.56,8.335,74,11.0014,0,2,2
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,0,0,2,6.56,9.09,74,7.0015,1,8,9
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,0,0,3,6.56,9.09,93,7.0015,0,15,15
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,0,0,3,6.56,9.09,93,7.0015,0,20,20
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,0,0,2,7.38,9.85,80,11.0014,5,56,61
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,0,0,2,8.2,9.09,69,26.0027,2,60,62
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,0,0,2,8.2,9.09,59,23.9994,8,90,98
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,0,0,1,8.2,9.09,44,22.0028,7,95,102
175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,0,0,1,8.2,8.335,32,32.9975,12,83,95
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,0,0,1,8.2,8.335,32,30.0026,5,69,74
177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,0,0,1,7.38,6.82,29,30.0026,8,68,76
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,0,0,1,6.56,6.06,37,36.9974,5,64,69
