,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,PM_US Post
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,71.0,64.0,69.0,-8.0,85.0,1026.0,-6.0,61.69,0.5,0.9,0.0,0.0,1.0,0.0,65.0
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60.5,59.5,49.0,-8.0,92.0,1026.0,-7.0,65.71,0.5,1.4,0.0,0.0,1.0,0.0,55.0
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,72.5,69.0,67.0,-8.0,92.0,1025.0,-7.0,68.84,0.7,2.1,0.0,0.0,1.0,0.0,65.0
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,74.0,72.5,78.5,-8.0,92.0,1024.0,-7.0,72.86,1.2,3.3,0.0,0.0,1.0,0.0,83.0
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,74.0,72.5,78.5,-9.0,92.0,1024.0,-8.0,76.88,0.7,4.0,0.0,0.0,1.0,0.0,91.0
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,74.0,72.5,78.5,-10.0,85.0,1024.0,-8.0,80.9,1.0,5.0,0.0,0.0,1.0,0.0,86.0
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,75.0,71.0,81.0,-10.0,92.0,1024.0,-9.0,84.92,0.7,5.7,0.0,0.0,1.0,0.0,82.0
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,82.5,77.0,83.5,-10.0,92.0,1024.0,-9.0,89.84,0.5,6.2,0.0,0.0,1.0,0.0,86.0
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,61.5,70.0,71.5,-11.0,85.0,1023.0,-9.0,93.86,0.7,6.9,0.0,0.0,1.0,0.0,78.0
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,67.5,85.0,76.0,-11.0,85.0,1023.0,-9.0,97.88,0.4,7.3,0.0,0.0,1.0,0.0,98.0
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,88.0,126.5,106.5,-11.0,85.0,1022.0,-9.0,102.8,0.5,7.8,0.0,0.0,1.0,0.0,107.0
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61.0,80.0,75.5,-11.0,85.0,1021.0,-9.0,105.93,1.1,8.9,0.0,0.0,1.0,0.0,90.0
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61.0,80.0,75.5,-11.0,85.0,1020.0,-9.0,111.74,0.5,9.4,0.0,0.0,1.0,0.0,96.0
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61.0,80.0,75.5,-11.0,85.0,1020.0,-9.0,116.66,0.3,9.7,0.0,0.0,1.0,0.0,95.0
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,61.0,80.0,75.5,-11.0,85.0,1020.0,-9.0,121.58,0.5,10.2,0.0,0.0,1.0,0.0,86.0
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,61.5,70.0,71.5,-11.0,85.0,1020.0,-9.0,124.71,0.2,10.4,0.0,0.0,1.0,0.0,70.0
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,60.5,61.5,69.0,-11.0,85.0,1020.0,-9.0,127.84,0.1,10.5,0.0,0.0,1.0,0.0,61.0
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,248.0,56.0,209.5,-11.0,85.0,1021.0,-9.0,0.89,0.4,10.9,0.0,0.0,0.0,1.0,53.0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,98.5,72.5,109.0,-11.0,85.0,1022.0,-9.0,1.78,0.3,11.2,0.0,0.0,0.0,1.0,71.0
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,261.5,353.5,224.0,-10.0,92.0,1022.0,-9.0,4.02,0.0,0.0,0.0,1.0,0.0,0.0,72.0
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,261.5,78.0,224.0,-11.0,92.0,1023.0,-10.0,7.15,0.0,0.0,0.0,1.0,0.0,0.0,76.0
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,95.5,78.0,79.5,-11.0,85.0,1023.0,-9.0,11.17,0.0,0.0,0.0,1.0,0.0,0.0,73.0
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,85.0,78.0,84.5,-12.0,92.0,1023.0,-11.0,14.3,0.0,0.0,0.0,1.0,0.0,0.0,79.0
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,54.0,135.5,90.5,-14.0,85.0,1023.0,-12.0,16.09,0.0,0.0,0.0,1.0,0.0,0.0,58.0
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,22.5,20.0,18.0,-16.0,56.0,1023.0,-9.0,21.9,0.0,0.0,0.0,1.0,0.0,0.0,25.0
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,18.5,20.0,15.5,-17.0,56.0,1024.0,-10.0,29.95,0.0,0.0,0.0,1.0,0.0,0.0,26.0
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,18.5,28.0,15.5,-18.0,56.0,1024.0,-11.0,39.78,0.0,0.0,0.0,1.0,0.0,0.0,28.0
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,17.5,30.0,15.5,-19.0,51.0,1025.0,-11.0,48.72,0.0,0.0,0.0,1.0,0.0,0.0,26.0
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,17.5,21.0,15.5,-20.0,51.0,1026.0,-12.0,55.87,0.0,0.0,0.0,1.0,0.0,0.0,20.0
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,17.5,19.5,17.5,-21.0,47.0,1027.0,-12.0,64.81,0.0,0.0,0.0,1.0,0.0,0.0,29.0
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,20.5,28.0,24.0,-21.0,51.0,1027.0,-13.0,73.75,0.0,0.0,0.0,1.0,0.0,0.0,26.0
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,17.0,19.5,15.0,-22.0,46.0,1028.0,-13.0,80.9,0.0,0.0,0.0,1.0,0.0,0.0,27.0
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,16.0,15.0,12.5,-22.0,46.0,1029.0,-13.0,90.73,0.0,0.0,0.0,1.0,0.0,0.0,27.0
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,16.0,15.0,12.5,-22.0,43.0,1030.0,-12.0,100.56,0.0,0.0,0.0,1.0,0.0,0.0,25.0
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,14.0,16.5,13.5,-23.0,39.0,1031.0,-12.0,108.61,0.0,0.0,0.0,1.0,0.0,0.0,29.0
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,14.0,21.0,14.5,-21.0,43.0,1030.0,-11.0,117.55,0.0,0.0,0.0,1.0,0.0,0.0,32.0
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,14.0,21.0,14.5,-20.0,43.0,1030.0,-10.0,127.38,0.0,0.0,0.0,1.0,0.0,0.0,28.0
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,14.0,19.0,15.5,-21.0,40.0,1030.0,-10.0,136.32,0.0,0.0,0.0,1.0,0.0,0.0,29.0
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,14.0,17.5,16.0,-21.0,37.0,1030.0,-9.0,145.26,0.0,0.0,0.0,1.0,0.0,0.0,30.0
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,14.0,17.5,16.0,-21.0,37.0,1031.0,-9.0,152.41,0.0,0.0,0.0,1.0,0.0,0.0,30.0
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,14.0,17.0,15.0,-20.0,47.0,1032.0,-11.0,159.56,0.0,0.0,0.0,1.0,0.0,0.0,28.0
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,14.0,17.0,15.0,-23.0,36.0,1032.0,-11.0,165.37,0.0,0.0,0.0,1.0,0.0,0.0,26.0
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,14.5,17.0,13.5,-21.0,47.0,1033.0,-12.0,171.18,0.0,0.0,0.0,1.0,0.0,0.0,31.0
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,28.5,28.0,26.0,-24.0,36.0,1034.0,-12.0,180.12,0.0,0.0,0.0,1.0,0.0,0.0,33.0
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,18.0,14.5,14.5,-24.0,39.0,1034.0,-13.0,187.27,0.0,0.0,0.0,1.0,0.0,0.0,29.0
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,18.0,30.5,14.5,-24.0,39.0,1035.0,-13.0,195.32,0.0,0.0,0.0,1.0,0.0,0.0,31.0
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,18.0,14.0,14.5,-26.0,38.0,1035.0,-15.0,198.45,0.0,0.0,0.0,1.0,0.0,0.0,30.0
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,18.0,13.5,14.5,-26.0,45.0,1035.0,-17.0,201.58,0.0,0.0,0.0,1.0,0.0,0.0,34.0
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,18.0,17.5,14.5,-26.0,49.0,1035.0,-18.0,205.6,0.0,0.0,0.0,1.0,0.0,0.0,27.0
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,18.0,17.5,14.5,-26.0,53.0,1035.0,-19.0,208.73,0.0,0.0,0.0,1.0,0.0,0.0,25.0
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,13.0,17.5,13.5,-27.0,45.0,1035.0,-18.0,213.65,0.0,0.0,0.0,1.0,0.0,0.0,28.0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13.0,17.5,13.5,-27.0,49.0,1035.0,-19.0,218.57,0.0,0.0,0.0,1.0,0.0,0.0,28.0
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,19.5,24.0,22.0,-27.0,38.0,1034.0,-16.0,4.92,0.0,0.0,1.0,0.0,0.0,0.0,27.0
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,20.5,18.5,21.5,-26.0,41.0,1035.0,-16.0,8.05,0.0,0.0,1.0,0.0,0.0,0.0,27.0
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,18.5,24.5,16.5,-27.0,38.0,1034.0,-16.0,13.86,0.0,0.0,1.0,0.0,0.0,0.0,27.0
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,29.0,29.5,23.5,-26.0,41.0,1035.0,-16.0,18.78,0.0,0.0,1.0,0.0,0.0,0.0,29.0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,40.0,40.0,33.5,-26.0,38.0,1035.0,-15.0,24.59,0.0,0.0,1.0,0.0,0.0,0.0,36.0
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,19.5,17.5,17.0,-25.0,38.0,1035.0,-14.0,29.51,0.0,0.0,1.0,0.0,0.0,0.0,30.0
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,18.0,15.0,13.0,-25.0,35.0,1035.0,-13.0,34.43,0.0,0.0,1.0,0.0,0.0,0.0,27.0
