,size,#columns,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage
dataset_experiment_info/beijing_multisite/dingling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/aotizhongxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/dongsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/shunyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/guanyuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/tiantan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/abrupt_imbalanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/out-of-control,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/incremental_imbalanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/incremental_reoccurring_balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/incremental_balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/incremental_abrupt_balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/gradual_imbalanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/abrupt_balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/incremental_abrupt_imbalanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/incremental_reoccurring_imbalanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/insects/gradual_balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/italian_city_airquality,9357,15,0.0,0.0,,,,,0.25,0.25,0.23472222222222222,0.23472222222222222,0.020265151515151514,0.05486111111111111,0.01806134444800684,0.01923693491503687,0.018649139681521855,0.36363636363636365,1.0,0.5176767676767676,0.4015151515151515,0.5454545454545454,0.7348484848484849,1.0,0.41666666666666663,0.7272727272727273,0.0,0.0
dataset_experiment_info/airbnb,213451,16,0.06400707890803979,0.06400707890803979,0.06393690476190476,0.069525,0.06393690476190476,0.069525,0.0338,0.0338,0.1433,0.1433,0.004165,0.0099,0.006713484593653813,0.0015835015998988057,0.00414849309677631,0.25,0.7,0.1480855855855856,0.2195945945945946,0.55,0.0016891891891891893,0.25,0.22297297297297297,0.55,0.0,0.0
dataset_experiment_info/bitcoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijingPM2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/household,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/safe_driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/5cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/5cities/shenyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/5cities/guangzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/5cities/beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/5cities/shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/5cities/chengdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
