,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,totalMandates,availableMandates,numParishes,numParishesApproved,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,votersPercentage,subscribedVoters,totalVoters,pre.blankVotes,pre.blankVotesPercentage,pre.nullVotes,pre.nullVotesPercentage,pre.votersPercentage,pre.subscribedVoters,pre.totalVoters,Mandates,Percentage,validVotesPercentage,Votes,Hondt,territoryName_Aveiro,territoryName_Açores,territoryName_Beja,territoryName_Braga,territoryName_Bragança,territoryName_Castelo Branco,territoryName_Coimbra,territoryName_Faro,territoryName_Guarda,territoryName_Leiria,territoryName_Lisboa,territoryName_Madeira,territoryName_Portalegre,territoryName_Porto,territoryName_Santarém,territoryName_Setúbal,territoryName_Território Nacional,territoryName_Viana do Castelo,territoryName_Vila Real,territoryName_Viseu,territoryName_Évora,Party_A,Party_B.E.,Party_CDS-PP,Party_CH,Party_IL,Party_JPP,Party_L,Party_MAS,Party_MPT,Party_NC,Party_PAN,Party_PCP-PEV,Party_PCTP/MRPP,Party_PDR,Party_PNR,Party_PPD/PSD,Party_PPM,Party_PS,Party_PTP,Party_PURP,Party_R.I.R.,FinalMandates
10,10,10,10,264,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,0.33,0.34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,254,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,18.05,18.76,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,12,12,12,252,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.03,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,13,251,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.16,0.16,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,14,14,14,250,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.19,0.19,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,15,15,15,249,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.22,0.22,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,248,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.25,0.26,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,17,17,17,247,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.25,0.26,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,18,246,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.34,0.35,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,19,245,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.38,0.38,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,20,20,20,244,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.5,0.51,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,21,253,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,43.66,45.37,3188,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
22,22,22,22,243,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.53,0.55,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,23,265,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,0.25,0.26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,24,24,24,267,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,0.18,0.19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,25,287,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.16,0.17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,26,286,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.2,0.21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,27,27,27,285,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.21,0.22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,28,28,28,284,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.21,0.22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,29,29,29,283,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.22,0.23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,30,282,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.23,0.23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,31,281,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.27,0.28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,32,32,32,280,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.49,0.51,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,33,279,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.57,0.59,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,34,266,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,0.21,0.21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,35,35,35,278,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.64,0.67,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,36,276,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,1.71,1.77,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,37,37,37,275,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,2.27,2.36,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
38,38,38,38,274,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,3.33,3.47,385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,39,39,39,273,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,3.35,3.49,387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,40,40,40,272,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,5.67,5.9,655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
41,41,41,41,271,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,33.48,34.85,3868,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
42,42,42,42,270,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,42.08,43.79,4861,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
43,43,43,43,269,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,0.05,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,44,44,44,268,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,0,0.05,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,45,45,45,277,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,0,0.66,0.68,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,46,46,46,242,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.59,0.61,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,47,47,47,241,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.63,0.64,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,48,48,48,240,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.66,0.67,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,49,49,49,214,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,0,29.19,30.82,1335,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
50,50,50,50,213,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,0,34.64,36.57,1584,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20
51,51,51,51,212,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.09,0.1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,52,52,211,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.12,0.13,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,53,53,210,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.19,0.2,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,54,54,54,209,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.2,0.21,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,55,55,55,208,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.2,0.21,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,56,56,56,207,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.2,0.21,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,57,57,57,206,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.23,0.24,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,58,58,58,215,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,0,7.78,8.22,356,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
59,59,59,59,205,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.23,0.24,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,60,203,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.36,0.38,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,61,61,61,202,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.69,0.74,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,62,62,201,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.84,0.89,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,63,200,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.88,0.94,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,64,64,64,199,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,1.01,1.08,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,65,65,198,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,1.36,1.45,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,66,66,66,197,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,1.42,1.52,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,67,67,196,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,2.29,2.44,172,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,68,68,68,195,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,5.89,6.28,443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,69,69,69,204,0,10,110,12,291,3.87,176,2.34,55.96,13439,7520,250,3.07,164,2.01,57.4,14191,8146,0,0.25,0.27,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,70,70,70,216,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,0,5.69,6.0,260,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
71,71,71,71,217,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,0,5.49,5.79,251,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,72,72,72,218,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,0,3.26,3.44,149,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
73,73,73,73,239,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.78,0.8,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,74,74,74,238,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,0.88,0.9,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,75,75,75,237,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,1.25,1.28,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,76,76,236,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,2.82,2.89,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,77,77,235,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,0,11.01,11.29,352,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
